"id1","id2","id3","id4","hhmid","s1eiii_63","s1eiii_64","s1eiii_65","s1eiii_66","s1eiii_67","s1eiii_68","s1eiii_69","s1eiii_70","s1eiii_71","s1eiii_72i","s1eiii_72ii","hhno"
1,2,28,21,1,2,,5,,,,,,,,,101028021
1,2,28,21,3,2,,8,,,,,,,,,101028021
1,2,28,21,2,2,,8,,,,,,,,,101028021
1,2,28,26,1,2,,5,,,,,,,,,101028026
1,2,28,26,2,2,,5,,,,,,,,,101028026
1,2,28,26,5,2,,8,,,,,,,,,101028026
1,2,28,26,6,2,,8,,,,,,,,,101028026
1,2,28,26,3,2,,8,,,,,,,,,101028026
1,2,28,26,4,2,,8,,,,,,,,,101028026
1,2,28,28,1,2,,5,,,,,,,,,101028028
1,2,28,28,2,2,,5,,,,,,,,,101028028
1,2,28,31,1,2,,5,,,,,,,,,101028031
1,2,28,32,1,2,,5,,,,,,,,,101028032
1,2,28,34,4,2,,8,,,,,,,,,101028034
1,2,28,34,3,2,,8,,,,,,,,,101028034
1,2,28,34,1,2,,5,,,,,,,,,101028034
1,2,28,34,2,2,,8,,,,,,,,,101028034
1,2,28,35,1,2,,5,,,,,,,,,101028035
1,2,28,35,6,2,,8,,,,,,,,,101028035
1,2,28,35,2,2,,5,,,,,,,,,101028035
1,2,28,35,3,2,,2,3,3,2,,,4,3,,101028035
1,2,28,35,5,2,,8,,,,,,,,,101028035
1,2,28,35,4,2,,8,,,,,,,,,101028035
1,2,28,41,5,2,,8,,,,,,,,,101028041
1,2,28,41,2,2,,5,,,,,,,,,101028041
1,2,28,41,4,2,,8,,,,,,,,,101028041
1,2,28,41,3,2,,8,,,,,,,,,101028041
1,2,28,43,1,2,,5,,,,,,,,,101028043
1,2,28,44,2,2,,5,,,,,,,,,101028044
1,2,28,44,3,2,,8,,,,,,,,,101028044
1,2,28,44,1,2,,5,,,,,,,,,101028044
1,5,4,1,4,2,,8,,,,,,,,,101004001
1,5,4,1,2,2,,5,,,,,,,,,101004001
1,5,4,1,1,,,,,,,,,,,,101004001
1,5,4,1,3,2,,8,,,,,,,,,101004001
1,5,4,1,6,2,,8,,,,,,,,,101004001
1,5,4,1,5,2,,8,,,,,,,,,101004001
1,5,4,5,1,2,,5,,,,,,,,,101004005
1,5,4,5,2,2,,8,,,,,,,,,101004005
1,5,4,6,2,2,,5,,,,,,,,,101004006
1,5,4,6,8,2,,8,,,,,,,,,101004006
1,5,4,6,5,2,,8,,,,,,,,,101004006
1,5,4,6,1,,,,,,,,,,,,101004006
1,5,4,6,7,2,,8,,,,,,,,,101004006
1,5,4,6,4,2,,8,,,,,,,,,101004006
1,5,4,6,6,2,,8,,,,,,,,,101004006
1,5,4,6,3,2,,8,,,,,,,,,101004006
1,5,4,10,3,2,,8,,,,,,,,,101004010
1,5,4,10,6,2,,8,,,,,,,,,101004010
1,5,4,10,2,2,,8,,,,,,,,,101004010
1,5,4,10,5,2,,8,,,,,,,,,101004010
1,5,4,10,8,2,,6,,,,,,3,5,,101004010
1,5,4,10,1,2,,5,,,,,,,,,101004010
1,5,4,10,7,2,,9,,,,"FARMING ACTIVITIES SUBSISTENCE",621,6,,,101004010
1,5,4,10,4,2,,8,,,,,,,,,101004010
1,5,4,12,1,2,,5,,,,,,,,,101004012
1,5,4,12,2,2,,9,,,,"MANUFACTURING OF COCONUT OIL",741,6,,,101004012
1,5,4,14,3,2,,8,,,,,,,,,101004014
1,5,4,14,2,2,,5,,,,,,,,,101004014
1,5,4,14,1,2,,5,,,,,,,,,101004014
1,5,4,16,1,,,,,,,,,,,,101004016
1,5,4,16,2,2,,5,,,,,,,,,101004016
1,5,4,16,3,2,,8,,,,,,,,,101004016
1,5,4,16,5,2,,8,,,,,,,,,101004016
1,5,4,16,4,2,,8,,,,,,,,,101004016
1,5,4,17,4,2,,9,,,,"BREAD BAKING",741,6,,,101004017
1,5,4,17,2,,,,,,,,,,,,101004017
1,5,4,17,3,,,,,,,,,,,,101004017
1,5,4,17,1,2,,5,,,,,,,,,101004017
1,5,4,20,2,2,,8,,,,,,,,,101004020
1,5,4,20,1,2,,5,,,,,,,,,101004020
1,5,4,20,3,2,,8,,,,,,,,,101004020
1,5,4,22,4,2,,8,,,,,,,,,101004022
1,5,4,22,2,2,,7,,,,"SMOKING FISH FOR SALE",615,6,,,101004022
1,5,4,22,1,,,,,,,,,,,,101004022
1,5,4,22,3,2,,5,,,,,,,,,101004022
1,5,4,24,1,,,,,,,,,,,,101004024
1,5,4,24,3,2,,8,,,,,,,,,101004024
1,5,4,24,2,2,,5,,,,,,,,,101004024
1,5,4,27,2,1,2,3,4,4,5,"RETAIL SALE OF FOOD",741,1,10,,101004027
1,5,4,27,3,2,,8,,,,,,,,,101004027
1,5,4,27,1,,,,,,,,,,,,101004027
1,5,4,31,2,2,,8,,,,,,,,,101004031
1,5,4,31,1,2,,5,,,,,,,,,101004031
1,5,4,31,3,2,,8,,,,,,,,,101004031
1,5,4,31,4,2,,8,,,,,,,,,101004031
1,5,4,32,1,2,,5,,,,,,,,,101004032
1,5,4,32,5,2,,8,,,,,,,,,101004032
1,5,4,32,4,2,,8,,,,,,,,,101004032
1,5,4,32,2,2,,8,,,,,,,,,101004032
1,5,4,32,6,2,,9,,,,"SUBSISTENT FARMER",621,6,,,101004032
1,5,4,32,3,2,,8,,,,,,,,,101004032
1,6,1,2,3,2,,7,,,,"FARMING",621,7,3,,101001002
1,6,1,2,2,1,2,1,,,2,,0,1,3,,101001002
1,6,1,2,1,1,1,,3,2,3,"DRIVING",832,1,10,,101001002
1,6,1,3,1,1,1,,1,1,5,"CROP FARMING",611,1,5,,101001003
1,6,1,4,1,1,1,,3,,3,"FARMING",11,1,20,,101001004
1,6,1,9,2,2,,7,,,,,0,7,3,,101001009
1,6,1,9,1,,,,,,,,,,,,101001009
1,6,1,10,2,2,2,5,,,,,,,,,101001010
1,6,1,10,1,2,2,7,,,,"FARMING",611,7,10,,101001010
1,6,1,12,1,1,2,1,,,7,"CROP FARMING",611,1,3,,101001012
1,6,1,12,2,1,2,1,,,4,,0,1,5,,101001012
1,6,1,12,3,2,,8,,,,,,,,,101001012
1,6,1,13,1,2,,7,,,,"CROP FARMING",611,7,10,,101001013
1,6,1,13,2,1,2,1,,,6,"CROP FARMING",611,1,5,,101001013
1,6,1,15,4,2,,8,,,,,,,,,101001015
1,6,1,15,2,2,,7,,,,"FARMING",11,7,5,,101001015
1,6,1,15,1,1,2,6,,,,,,1,5,,101001015
1,6,1,15,5,2,,8,,,,,,,,,101001015
1,6,1,15,6,2,,8,,,,,,,,,101001015
1,6,1,15,3,2,,8,,,,,,,,,101001015
1,6,1,22,2,2,,1,,,5,"FARMING",11,1,5,,101001022
1,6,1,22,1,,,,,,,,,,,,101001022
1,6,1,23,3,2,,8,,,,,,,,,101001023
1,6,1,23,2,2,,8,,,,,,,,,101001023
1,6,1,23,1,1,2,5,,,,,,,,,101001023
1,6,1,24,3,2,,8,,,,,,,,,101001024
1,6,1,24,1,1,2,1,,,4,"CROP FARMING",611,1,5,,101001024
1,6,1,24,2,1,2,1,,,3,"CROP FARMING",611,1,6,,101001024
1,6,1,24,4,2,,8,,,,,,,,,101001024
1,6,1,26,1,,,,,,,,,,,,101001026
1,6,1,26,2,1,1,,3,2,1,"FARMING",611,1,10,,101001026
1,6,1,29,1,2,,5,,,,,,,,,101001029
1,6,1,29,2,2,,5,,,,,,,,,101001029
1,6,1,34,7,,,,,,,,,,,,101001034
1,6,1,34,8,2,,8,,,,,,,,,101001034
1,6,1,34,2,1,2,1,,,4,"FARMING",611,1,5,,101001034
1,6,1,34,1,1,1,,1,1,5,"FARMING",611,1,7,,101001034
1,6,1,34,4,2,,8,,,,,,,,,101001034
1,6,1,34,5,2,,8,,,,,,,,,101001034
1,6,1,34,6,2,,8,,,,,,,,,101001034
1,6,1,34,3,2,,7,,,,"FARMING",611,7,5,,101001034
1,6,1,35,1,1,1,,3,1,5,"CROP FARMING",611,1,10,,101001035
1,6,1,35,4,2,,7,,,,,,,,,101001035
1,6,1,35,3,2,,7,,,,,,,,,101001035
1,6,1,35,5,2,,7,,,,,,,,,101001035
1,6,1,35,2,1,1,,3,1,5,"CROP FARMING",611,1,5,,101001035
1,6,2,2,1,2,,5,,,,,,,,,101002002
1,6,2,4,1,2,,5,,,,,,,,,101002004
1,6,2,16,1,2,,5,,,,,,,,,101002016
1,6,2,16,2,2,,6,,,,,,4,5,,101002016
1,6,2,19,1,1,1,,1,1,4,,,1,2,,101002019
