"id1","id2","id3","id4","hhmid","s1ei_1","s1ei_2","s1ei_3","s1ei_4","s1ei_5","s1ei_6i","s1ei_6ii","s1ei_7i","s1ei_7ii","s1ei_7iii","s1ei_8i","s1ei_8ii","s1ei_9","s1ei_10i","s1ei_10ii","s1ei_11","s1ei_12","s1ei_13i","s1ei_13ii","s1ei_14","s1ei_15","s1ei_16","s1ei_17","s1ei_18","s1ei_19","s1ei_20","s1ei_21","s1ei_22","s1ei_23","s1ei_24","s1ei_25i","s1ei_25ii","s1ei_25iii","s1ei_26","s1ei_27","s1ei_28","s1ei_29i","s1ei_29ii","hhno"
1,10,20,35,1,1,"TRACK MAINTENANCE(RAILWAY)",721,"TRANSPORTATION VIA RAILWAY",6010,23,,49,5,8,5,8,1,140,,3,2,,,,1,1,1,1,1,1,2,19,12,2,,,,,,,,,101020035
1,10,21,11,1,1,"TEACHING",233,"PRIMARY TEACHER",8010,22,10,43,5,8,5,8,1,158,,3,2,,,,1,1,1,1,1,1,2,14,15,1,,1,,5,4,2,,,101021011
1,10,21,26,2,1,"EXTRACTION OF GOLD",711,"MINING",1321,6,5,40,7,6,5,6,1,17,50,2,2,,,,2,2,2,2,2,1,2,6,7,2,,,,,,,,,101021026
1,10,21,26,1,1,"EXTRACTION OF GOLD",711,"MINING",1321,7,10,50,7,8,5,8,1,50,,2,2,,,,2,2,2,2,2,1,2,6,6,2,,,,,,,,,101021026
1,10,21,30,1,1,"EXTRACTION OF GOLD",711,"MINING",1321,2,4,40,6,10,6,10,1,200,,3,2,,,,2,2,2,4,2,1,2,6,5,2,,,,,,,,,101021030
1,10,21,34,1,1,"MINING",711,"SMALL SCALE MINING",1321,9,,48,6,9,6,8,1,50,,2,2,,,,2,2,2,4,2,2,2,6,8,2,,,,,,,,,101021034
1,10,21,51,1,1,"COOK",512,"CATERING",5520,,6,48,7,8,7,8,1,4,,1,2,,,,2,2,2,4,2,2,2,8,2,2,,,,,,,,,101021051
1,10,27,4,1,1,"RETAILING",911,"RETAILING",5259,2,,20,2,7,2,7,1,4,,1,2,,,,2,2,2,4,2,2,2,11,,2,,,,,,,,,101027004
1,10,27,11,1,1,"CARRY SAND",711,"SMALL SCALE MINING",1321,,1,,,,5,6,1,3,,1,2,,,,2,2,2,4,2,2,2,6,25,2,,,,,,,,,101027011
1,10,27,36,1,1,"SMALL SCALE MINING",711,"SMALL SCALE MINING",1310,,1,4,5,7,5,7,1,3,50,1,2,,,,2,2,2,4,2,1,2,6,25,2,,,,,,,,,101027036
