"id1","id2","hhno","hhmid","s1gii_14","s1gii_15","s1gii_16i","s1gii_16_11","s1gii_16_112","s1gii_16ii","s1gii_16_211","s1gii_16_212","s1gii_16iii","s1gii_16_311","s1gii_16_312","s1gii_16iv","s1gii_16_411","s1gii_16_412","s1gii_17i","s1gii_17ii","s1gii_17iii","s1gii_17iv","s1gii_18i","s1gii_18ii","s1gii_18iii","s1gii_18iv","s1gii_19i","s1gii_19ii","s1gii_19iii","s1gii_19iv","s1gii_20i","s1gii_20ii","s1gii_20iii","s1gii_20iv","s1gii_21i","s1gii_21ii","s1gii_21iii","s1gii_21iv","s1gii_22i","s1gii_22ii","s1gii_22iiii","s1gii_22iv","s1gii_23i","s1gii_23ii","s1gii_23iii","s1gii_23iv","s1gii_24i","s1gii_2ii","s1gii_24iii","s1gii_24iv","s1gii_25i","s1gii_25ii","s1gii_25iii","s1gii_25iv","s1gii_26i","s1gii_26ii","s1gii_26iii","s1gii_26iv","s1gii_27i","s1gii_27ii","s1gii_27iii","s1gii_27iv","s1gii_28i","s1gii_28ii","s1gii_28iii","s1gii_28iv","s1gii_29i","s1gii_29ii","s1gii_29iii","s1gii_29iv"
1,2,101028035,1,1,1,9,,,,,,,,,,,,1,,,,,,,,24,,,,33,,,,2,,,,6,,,,1,,,,3,,,,4,,,,2,,,,2,,,,834,,,,6301,,,
1,2,101028044,1,1,1,9,,,,,,,,,,,,1,,,,,,,,18,,,,20,,,,2,,,,4,,,,1,,,,4,,,,3,,,,4,,,,2,,,,733,,,,3611,,,
1,5,101004014,1,1,1,9,,,,,,,,,,,,1,,,,,,,,39,,,,42,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,,,,4530,,,
1,6,101002002,1,1,1,,,,,,,,,,,,,,,,,7,,,,27,,,,29,,,,2,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,101002019,1,1,1,11,"TAFO",,,,,,,,,,,6,,,,,,,,7,,,,8,,,,5,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,101002021,1,1,1,1,,,,,,,,,,,,1,,,,,,,,18,,,,23,,,,7,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,101002037,1,1,1,11,"ANYINASE",,,,,,,,,,,1,,,,,,,,10,,,,23,,,,7,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,101002041,2,2,1,12,,"AGONA NKWANTA",,,,,,,,,,2,,,,,,,,12,,,,16,,,,7,,,,4,,,,1,,,,2,,,,2,,,,1,,,,1,,,,712,,,,4520,,,
1,6,101002052,2,2,2,11,"EKEBAKU(NZEMA)",,,,,,,,,,,1,,,,7,,,,3,15,,,15,25,,,5,6,,,1,4,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,101013006,1,1,2,11,"TARKWA",,11,"APRAMDU",,,,,,,,1,1,,,,,,,29,27,,,31,29,,,7,7,,,5,5,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
