"id1","id2","id3","id4","hhmid","s10aii_a17","s10aii_a18","hhno"
1,6,1,35,2,4,3,101001035
1,6,1,35,3,3,3,101001035
1,6,2,2,1,4,2,101002002
1,6,2,4,1,2,1,101002004
1,6,2,16,1,5,2,101002016
1,6,2,16,2,4,1,101002016
1,6,2,19,1,7,3,101002019
1,6,2,21,1,8,4,101002021
1,6,2,23,1,5,2,101002023
1,6,2,23,2,3,1,101002023
1,6,2,24,1,4,6,101002024
1,6,2,24,2,4,7,101002024
1,6,2,25,2,4,2,101002025
1,6,2,25,3,6,3,101002025
1,6,2,25,4,5,3,101002025
1,6,2,28,1,5,3,101002028
1,6,2,28,2,5,1,101002028
1,6,2,28,3,6,3,101002028
1,6,2,29,1,4,1,101002029
1,6,2,29,2,2,1,101002029
1,6,2,37,1,3,5,101002037
1,6,2,41,1,6,2,101002041
1,6,2,41,2,3,1,101002041
1,6,2,43,1,2,3,101002043
1,6,2,50,1,2,1,101002050
1,6,2,52,1,5,2,101002052
1,6,2,52,2,4,2,101002052
1,8,13,6,1,3,2,101013006
1,8,13,8,1,3,1,101013008
1,8,13,8,2,2,1,101013008
1,8,13,8,3,2,1,101013008
1,8,13,15,1,10,5,101013015
1,8,13,19,1,5,4,101013019
1,8,13,19,2,6,5,101013019
1,8,13,19,3,5,4,101013019
1,8,13,20,1,5,3,101013020
1,8,13,20,2,5,3,101013020
1,8,13,20,3,3,2,101013020
1,8,13,28,1,9,2,101013028
1,8,13,28,2,9,2,101013028
1,8,13,30,1,3,3,101013030
1,8,13,32,1,2,1,101013032
1,8,13,32,2,2,1,101013032
1,8,13,36,1,4,2,101013036
1,8,13,36,2,6,4,101013036
1,8,13,36,3,6,3,101013036
1,8,13,48,1,10,2,101013048
1,8,13,48,2,4,2,101013048
1,8,13,66,1,6,2,101013066
1,8,13,67,1,8,4,101013067
1,8,13,67,2,1,1,101013067
1,8,13,87,1,5,6,101013087
1,8,13,87,2,5,4,101013087
1,8,13,87,3,2,1,101013087
1,8,13,95,1,10,4,101013095
1,8,13,95,2,10,3,101013095
1,8,13,95,3,3,6,101013095
1,8,13,103,1,8,4,101013103
1,8,13,103,2,7,3,101013103
1,8,14,11,1,1,1,101014011
1,8,14,11,2,1,1,101014011
1,8,14,15,1,1,1,101014015
1,8,14,15,2,1,1,101014015
1,8,14,15,3,1,1,101014015
1,8,14,22,1,1,3,101014022
1,8,14,22,2,1,2,101014022
1,8,14,33,1,8,9,101014033
1,8,14,33,2,6,7,101014033
1,8,14,36,1,3,3,101014036
1,8,14,41,1,8,10,101014041
1,8,14,41,2,10,1,101014041
1,8,14,41,5,8,1,101014041
1,8,14,46,1,1,1,101014046
1,8,14,46,2,1,1,101014046
1,8,14,46,3,1,1,101014046
1,8,14,57,1,5,3,101014057
1,8,14,57,2,4,3,101014057
1,8,14,57,3,4,3,101014057
1,8,14,61,1,6,3,101014061
1,8,14,65,1,10,4,101014065
1,8,14,65,2,9,4,101014065
1,8,14,65,3,6,3,101014065
1,8,14,69,1,3,5,101014069
1,8,14,69,2,4,4,101014069
1,8,14,82,1,10,2,101014082
1,8,14,82,2,2,2,101014082
1,8,14,82,4,5,4,101014082
1,8,14,113,1,9,5,101014113
1,8,14,118,2,1,4,101014118
1,8,14,129,1,1,1,101014129
1,8,14,129,2,1,1,101014129
1,8,15,6,1,4,1,101015006
1,8,15,6,2,2,1,101015006
1,8,15,6,4,2,1,101015006
1,8,15,9,1,6,3,101015009
1,8,15,34,1,6,4,101015034
1,8,15,34,2,1,2,101015034
1,8,15,49,1,1,1,101015049
1,8,15,55,1,5,1,101015055
1,8,15,64,1,2,1,101015064
1,8,15,64,2,2,1,101015064
1,8,15,65,1,1,1,101015065
1,8,15,65,2,1,3,101015065
1,8,15,65,4,1,5,101015065
1,8,15,90,1,8,3,101015090
1,8,15,90,2,1,1,101015090
1,8,15,119,1,2,1,101015119
1,8,15,119,2,1,1,101015119
1,8,15,120,1,2,1,101015120
1,8,15,120,2,1,1,101015120
1,8,15,149,1,1,3,101015149
1,8,15,151,1,2,2,101015151
1,8,15,151,2,1,1,101015151
1,8,15,188,1,1,1,101015188
1,8,15,191,1,1,1,101015191
1,8,15,191,2,1,1,101015191
1,8,15,194,1,1,1,101015194
1,8,16,1,1,2,1,101016001
1,8,16,1,2,1,1,101016001
1,8,16,23,1,3,1,101016023
1,8,16,23,2,1,1,101016023
1,8,16,41,1,1,1,101016041
1,8,16,41,2,1,1,101016041
1,8,16,51,1,1,1,101016051
1,8,16,53,1,5,1,101016053
1,8,16,107,1,1,1,101016107
1,8,16,111,1,1,1,101016111
1,8,16,111,2,1,1,101016111
1,8,16,137,1,1,1,101016137
1,8,16,137,2,1,1,101016137
1,8,16,144,1,5,5,101016144
1,8,16,144,2,1,1,101016144
1,8,16,144,3,1,5,101016144
1,8,16,145,1,1,2,101016145
1,8,16,149,1,1,3,101016149
1,8,16,152,1,1,1,101016152
1,8,16,154,1,3,5,101016154
1,8,16,154,2,3,2,101016154
1,8,16,154,4,1,1,101016154
1,8,16,163,1,1,1,101016163
1,8,16,217,1,3,1,101016217
1,8,16,217,2,1,1,101016217
1,10,17,2,1,2,1,101017002
1,10,17,2,2,2,1,101017002
1,10,17,2,3,5,2,101017002
1,10,17,4,1,10,5,101017004
1,10,17,4,2,10,5,101017004
1,10,17,4,3,10,3,101017004
1,10,17,11,1,1,1,101017011
1,10,17,19,1,10,5,101017019
1,10,17,19,2,5,1,101017019
1,10,17,19,3,2,1,101017019
1,10,17,20,1,1,1,101017020
1,10,17,21,1,5,5,101017021
1,10,17,21,2,5,1,101017021
1,10,17,21,3,5,1,101017021
1,10,17,22,1,10,4,101017022
1,10,17,22,2,9,2,101017022
1,10,17,27,1,10,5,101017027
1,10,17,27,2,5,5,101017027
1,10,17,29,1,1,1,101017029
1,10,17,31,1,8,1,101017031
1,10,17,31,2,8,1,101017031
1,10,17,36,1,5,2,101017036
1,10,17,36,2,5,2,101017036
1,10,17,49,1,8,5,101017049
1,10,17,51,1,1,1,101017051
1,10,17,51,2,1,1,101017051
1,10,17,56,1,2,1,101017056
1,10,17,56,2,1,1,101017056
1,10,17,57,1,1,1,101017057
1,10,18,2,1,6,2,101018002
1,10,18,2,2,4,2,101018002
1,10,18,2,3,2,1,101018002
1,10,18,11,1,3,1,101018011
1,10,18,14,1,5,2,101018014
1,10,18,14,2,4,2,101018014
1,10,18,14,3,3,2,101018014
1,10,18,18,1,5,4,101018018
1,10,18,19,1,2,1,101018019
1,10,18,26,1,4,2,101018026
1,10,18,27,1,5,1,101018027
1,10,18,27,2,5,1,101018027
1,10,18,28,1,5,3,101018028
1,10,18,28,2,5,3,101018028
1,10,18,30,1,4,2,101018030
1,10,18,33,1,3,2,101018033
1,10,18,33,2,3,2,101018033
1,10,18,33,4,3,2,101018033
1,10,18,34,1,3,2,101018034
1,10,18,41,1,3,2,101018041
1,10,18,43,1,3,2,101018043
1,10,18,43,2,2,2,101018043
1,10,18,43,3,2,2,101018043
1,10,18,58,1,3,2,101018058
1,10,18,59,1,4,2,101018059
1,10,19,3,1,5,5,101019003
1,10,19,4,1,7,3,101019004
1,10,19,4,2,6,1,101019004
1,10,19,4,8,2,2,101019004
1,10,19,5,1,4,3,101019005
1,10,19,5,2,4,3,101019005
1,10,19,5,3,4,3,101019005
1,10,19,6,1,3,2,101019006
1,10,19,6,2,3,2,101019006
1,10,19,6,3,3,2,101019006
1,10,19,8,1,4,3,101019008
1,10,19,8,2,4,3,101019008
1,10,19,9,1,4,2,101019009
1,10,19,9,2,3,2,101019009
1,10,19,10,1,3,1,101019010
1,10,19,11,1,4,3,101019011
1,10,19,11,2,4,3,101019011
1,10,19,12,1,4,2,101019012
1,10,19,13,1,3,2,101019013
1,10,19,13,2,2,2,101019013
1,10,19,14,1,3,2,101019014
1,10,19,16,1,3,1,101019016
1,10,19,17,1,6,3,101019017
1,10,19,17,2,6,3,101019017
1,10,19,17,4,6,3,101019017
1,10,19,19,1,5,2,101019019
1,10,19,20,1,3,2,101019020
1,10,19,20,2,3,2,101019020
1,10,19,20,3,3,2,101019020
1,10,20,2,1,5,1,101020002
1,10,20,4,1,5,1,101020004
1,10,20,4,2,5,1,101020004
1,10,20,4,3,5,5,101020004
1,10,20,6,1,10,5,101020006
1,10,20,10,1,10,5,101020010
1,10,20,14,1,5,5,101020014
1,10,20,16,1,5,1,101020016
1,10,20,16,2,5,1,101020016
1,10,20,18,1,5,1,101020018
1,10,20,18,2,5,1,101020018
1,10,20,21,1,5,1,101020021
1,10,20,21,2,5,1,101020021
1,10,20,24,1,1,1,101020024
1,10,20,24,2,1,1,101020024
1,10,20,25,1,10,5,101020025
1,10,20,25,2,10,5,101020025
1,10,20,26,1,5,5,101020026
1,10,20,27,1,1,1,101020027
1,10,20,35,1,5,5,101020035
1,10,20,35,2,5,5,101020035
1,10,20,35,3,5,5,101020035
1,10,20,37,1,2,2,101020037
1,10,20,37,2,5,2,101020037
1,10,20,43,1,3,1,101020043
1,10,21,1,1,4,2,101021001
1,10,21,1,2,4,2,101021001
1,10,21,7,1,4,2,101021007
1,10,21,7,2,4,2,101021007
1,10,21,11,1,5,2,101021011
1,10,21,26,1,4,2,101021026
1,10,21,26,2,3,2,101021026
1,10,21,30,1,3,2,101021030
1,10,21,30,2,2,2,101021030
1,10,21,34,1,4,2,101021034
1,10,21,45,1,2,1,101021045
1,10,21,51,1,1,1,101021051
1,10,21,54,1,2,1,101021054
1,10,21,54,2,2,1,101021054
1,10,21,54,3,1,1,101021054
1,10,21,58,1,3,1,101021058
1,10,21,58,2,1,1,101021058
1,10,21,62,1,5,1,101021062
1,10,21,62,2,5,1,101021062
1,10,21,63,1,1,1,101021063
1,10,21,67,1,4,2,101021067
1,10,21,67,2,4,2,101021067
1,10,21,68,1,5,4,101021068
1,10,21,68,2,5,4,101021068
1,10,21,68,3,1,1,101021068
1,10,21,69,1,3,1,101021069
1,10,21,69,2,1,1,101021069
1,10,27,4,1,4,6,101027004
1,10,27,4,2,2,6,101027004
1,10,27,4,3,3,7,101027004
1,10,27,9,1,6,2,101027009
1,10,27,9,2,3,1,101027009
1,10,27,9,3,2,1,101027009
1,10,27,10,1,4,1,101027010
1,10,27,11,1,3,4,101027011
1,10,27,11,2,4,6,101027011
1,10,27,13,1,10,5,101027013
1,10,27,13,2,6,2,101027013
1,10,27,13,4,3,2,101027013
1,10,27,20,1,6,2,101027020
1,10,27,20,2,3,1,101027020
1,10,27,20,3,1,1,101027020
1,10,27,23,1,5,2,101027023
1,10,27,23,2,3,1,101027023
1,10,27,23,3,2,2,101027023
1,10,27,31,1,3,1,101027031
1,10,27,31,2,2,1,101027031
1,10,27,32,1,4,2,101027032
1,10,27,32,2,2,1,101027032
1,10,27,32,3,2,2,101027032
1,10,27,36,1,2,1,101027036
1,10,27,40,1,3,1,101027040
1,10,27,41,1,2,1,101027041
1,10,27,42,1,2,2,101027042
1,10,27,46,1,4,5,101027046
1,10,27,46,2,2,5,101027046
1,10,27,60,1,3,2,101027060
1,10,27,60,2,1,1,101027060
1,12,29,2,1,10,5,101029002
1,12,29,2,2,1,1,101029002
1,12,29,4,1,1,1,101029004
1,12,29,4,2,1,1,101029004
1,12,29,6,1,1,1,101029006
1,12,29,6,2,1,1,101029006
1,12,29,6,3,5,1,101029006
1,12,29,8,1,3,2,101029008
1,12,29,8,2,10,9,101029008
1,12,29,11,1,6,3,101029011
