"id1","id2","id3","id31","id4","id41","hhmid","HHMID1","s10aiv_a31","s10aiv_a32","s10aiv_a33","s10aiv_a341i","s10aiv_a341ii","s10aiv_a341iii","s10aiv_a342i","s10aiv_a342ii","s10aiv_a342iii","s10aiv_a343i","s10aiv_a343ii","s10aiv_a343iii","s10aiv_a351i","s10aiv_a351ii","s10aiv_a351iii","s10aiv_a352i","s10aiv_a352ii","s10aiv_a352iii","s10aiv_a353i","s10aiv_a353ii","s10aiv_a353iii","s10aiv_a36i","s10aiv_a36ii","s10aiv_a37i","s10aiv_a37ii","s10aiv_a38","s10aiv_a39i","s10aiv_a39ii","s10aiv_a40i","s10aiv_a40ii","s10aiv_a41","uniquehhmid","hhno"
7,122,266,"266",7,"007",1,"01",10,10,10,,,,,,,,,,"FARMING",100,,,,,,,,,,1,50,2,2,,4,,2,"26600701",107266007
1,1,31,"031",75,"075",3,"03",10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03107503",101031075
4,62,118,"118",17,"017",2,"02",8,8,8,,,,,,,,,,"INVEST IN BUSINESS",50,,"HELP SON'S APPRENTICESHIP",30,,"OPEN AN ACCOUNT",20,,4,,8,,,4,,8,,2,"11801702",104118017
8,141,294,"294",9,"009",1,"01",10,10,5,,,,,,,,,,"BREAD",50,,"SOAP",25,,"BATERY",25,,3,,5,,2,5,,7,,2,"29400901",108294009
6,92,195,"195",60,"060",3,"03",10,10,10,,,,,,,,,,"BUY SCHOOL ITEMS",50,,"BUY DRESSES",30,,"SHOES",20,,,,,,,,,,,,"19506003",106195060
4,62,118,"118",34,"034",1,"01",,,,,,,,,,,,,"SAVE ALL IN BANK",100,,,,,,,,3,,5,,1,5,,10,,1,"11803401",104118034
6,10,213,"213",17,"017",1,"01",10,10,10,,,,,,,,,,"BUSINESS",50,0,"SAVINGS",30,0,"UTILITIES",20,0,5,0,10,0,2,8,0,10,0,2,"21301701",106213017
6,92,195,"195",89,"089",3,"03",10,10,10,,,,,,,,,,"BUY SCHOOL ITEMS",100,,,,,,,,,,,,,,,,,,"19508903",106195089
10,166,334,"334",10,"010",2,"02",10,10,10,,,,,,,,,,"BUY CLOTH FOR MY WIFE",40,,"BUY SANDALS",40,,"BUY BOWLS(UTENSIL)",20,,,,,,,,,,,,"33401002",110334010
7,112,244,"244",59,"059",2,"02",10,10,10,,,,,,,,,,"SCH UNIFORM",20,,"SCH BAG",20,,"FRIDGE",60,,9,,6,,2,5,,7,,2,"24405902",107244059
8,135,310,"310",25,"025",2,"02",10,10,10,,,,,,,,,,"START BUSINESS",100,,,,,,,,,,,,,,,,,,"31002502",108310025
4,55,122,"122",15,"015",2,"02",9,9,7,,,,,,,,,,"FOR TRADE",50,,"FOR FARMING",50,,,,,5,,5,,2,8,,12,,2,"12201502",104122015
4,50,342,"342",12,"012",1,"01",10,8,10,,,,,,,,,,"INVEST IN FARMING",100,,,,,,,,,,,,,3,,6,,1,"34201201",104342012
8,152,288,"288",15,"015",9,"09",5,5,5,,,,,,,,,,"PAY DEBT",30,0,"PETTY EXPENSES",70,0,,,,3,0,6,0,3,6,0,12,0,1,"28801509",108288015
2,23,57,"057",51,"051",1,"01",10,9,8,,,,,,,,,,"INVEST IN FARM",100,,,,,,,,3,50,3,50,2,,,,,,"05705101",102057051
7,112,241,"241",63,"063",1,"01",,,10,,,,,,,,,,"WAXPRINT",30,,"FOOTWEAR",20,,"FOR CONSUMPTION",50,,,,,,,5,,10,,2,"24106301",107241063
