"id1","id2","id3","id4","hhmid","s1d_1","s1d_2","sid_3i","s1d_3ii","s1d_3iii","s1d_4i","s1d_4ii","s1d_5","s1d_6","s1d_7","s1d_8","s1d_9","s1d_10ai","s1d_10aii","s1d_10bi","s1d_10bii","s1d_11","s1d_12i","s1d_12ii","s1d_13","s1d_14","s1d_15","s1d_16","s1d_17i","s1d_17ii","s1d_18","s1d_19","s1d_20i","s1d_20ii","s1d_21","s1d_22","s1d_23","s1d_24","s1d_25","s1d_26","s1d_27","s1d_28","s1d_29","s1d_30","s1d_31","s1d_32","s1d_33","hhno"
1,6,2,16,2,2,2,,,1989,20,,2,1,1,1,16,,,400,,2005,,,7,6,1,18,3,,1,6,3,,1,5,1,,1,,0,,,,,,,101002016
1,6,2,16,3,1,3,6,2,2007,2,10,1,,,,,,,,,,,,7,1,1,18,1,1,,,1,2,,,1,,1,,0,,,,,,,101002016
1,6,2,16,4,2,3,4,4,2009,0,8,1,,,,,,,,,,,,7,1,1,18,1,1,,,1,2,,,1,,1,,0,,,,,,,101002016
1,6,2,19,1,2,1,18,4,1989,20,,2,6,,,,,,,,,,,5,6,1,8,3,,1,6,3,,1,5,1,,1,,8,,2,6,13,97,,101002019
1,6,2,21,1,1,1,19,1,1977,32,,2,6,,,,,,,,,,,4,7,1,10,3,,3,6,3,,1,6,1,,1,,2,,,,,,,101002021
1,6,2,23,1,1,1,,,1979,30,,2,1,1,2,20,250,,,,1999,,,7,1,1,16,2,,8,2,2,,1,6,1,,1,,0,,,,,,,101002023
1,6,2,23,2,2,2,,,1979,30,,2,1,1,1,20,,,250,,1999,,,7,1,1,7,3,,3,5,2,,3,2,1,,1,,0,,,,,,,101002023
1,6,2,23,3,1,3,6,1,2002,7,,1,,,,,,,,,,,,7,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101002023
1,6,2,23,4,1,3,1,1,2005,4,11,1,,,,,,,,,,,,7,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101002023
1,6,2,23,5,2,3,27,11,2008,1,0,1,,,,,,,,,,,,7,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101002023
1,6,2,24,1,1,1,,,1947,62,,2,1,1,2,21,,,,,1968,,,1,1,1,7,2,,3,2,2,,1,5,1,,1,,0,,,,,,,101002024
1,6,2,24,2,2,2,,,1952,57,,2,1,1,1,16,,,,,1968,,,1,1,1,7,2,,1,6,3,,1,6,1,,1,,0,,,,,,,101002024
1,6,2,25,1,1,1,,,1938,71,,2,1,1,2,28,,,,,1966,,,1,1,1,7,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101002025
1,6,2,25,2,2,2,,,1942,67,,2,1,1,1,28,,,,,1970,,,1,1,1,7,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101002025
1,6,2,25,3,1,3,21,9,1988,21,,2,6,,,,,,,,,,,1,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101002025
1,6,2,25,4,1,3,29,3,1991,18,,2,6,,,,,,,,,,,1,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101002025
1,6,2,25,5,2,3,10,8,2006,3,0,1,,,,,,,,,,,,1,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101002025
1,6,2,25,6,2,3,14,3,2007,2,0,1,,,,,,,,,,,,1,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101002025
1,6,2,28,1,1,1,,,1959,50,,2,1,1,2,25,,,,,1984,,,4,1,1,7,2,,1,6,3,,1,6,1,,1,,3,,,,,,,101002028
1,6,2,28,2,2,2,,,1969,40,,2,1,1,1,19,,,,,1988,,,4,1,1,7,3,,1,6,3,,1,6,1,,1,,3,,,,,,,101002028
1,6,2,28,3,2,3,,,1991,18,,2,6,,,,,,,,,,,4,1,1,7,1,1,,,1,2,,,1,,1,,0,,,,,,,101002028
1,6,2,28,4,2,3,,,1995,14,,2,6,,,,,,,,,,,4,1,1,7,1,1,,,3,,1,5,1,,1,,0,,,,,,,101002028
1,6,2,28,5,2,3,,,1998,11,,1,,,,,,,,,,,,4,1,1,7,1,1,,,3,,1,5,1,,1,,0,,,,,,,101002028
1,6,2,28,6,2,3,,,2004,5,0,1,,,,,,,,,,,,4,1,1,7,1,1,,,3,,1,6,1,,1,,0,,,,,,,101002028
1,6,2,29,1,2,1,,,1985,24,,2,6,,,,,,,,,,,1,9,1,52,3,,3,5,3,,1,5,1,,1,,0,,,,,,,101002029
1,6,2,29,2,2,7,,,1990,19,,2,6,,,,,,,,,,,1,6,1,52,3,,3,5,3,,1,5,1,,1,,0,,,,,,,101002029
1,6,2,37,1,2,1,,,1978,31,,2,4,,,19,,,60,,1997,,,5,2,1,4,2,,3,6,3,,2,6,1,,1,,0,,,,,,,101002037
1,6,2,37,2,2,3,9,12,2004,5,0,1,,,,,,,,,,,,5,2,1,4,3,,3,6,1,1,,,1,,1,,0,,,,,,,101002037
1,6,2,37,3,2,3,10,10,2006,3,2,1,,,,,,,,,,,,5,2,1,4,3,,3,6,1,1,,,1,,1,,0,,,,,,,101002037
1,6,2,41,1,1,1,,,1973,36,,2,1,1,2,19,,,,,1992,,,10,2,1,14,2,,3,6,2,,1,5,1,,1,,0,,,,,,,101002041
1,6,2,41,2,2,2,,,1976,33,,2,1,1,1,16,,,,,1992,,,7,6,1,3,3,,3,5,3,,1,5,1,,1,,0,,,,,,,101002041
1,6,2,41,3,2,3,,,1993,16,,2,6,,,,,,,,,,,7,1,1,3,1,1,,,1,2,,,1,,1,,5,,,,,,,101002041
1,6,2,41,4,2,3,,,2000,9,,1,6,,,,,,,,,,,7,1,1,3,1,1,,,3,,2,5,1,,1,,5,,,,,,,101002041
1,6,2,41,5,1,3,,,2006,3,0,1,6,,,,,,,,,,,7,1,1,3,1,1,,,3,,2,5,1,,1,,0,,,,,,,101002041
1,6,2,43,1,2,1,29,2,1986,23,,2,6,,,,,,,,,,,7,1,1,3,3,,1,6,2,,1,6,1,,1,,1,,,,,,,101002043
1,6,2,50,1,2,1,,,1983,26,,2,6,,,,,,,,,,,8,7,1,30,3,,1,6,3,,1,6,1,,1,,1,,,,,,,101002050
1,6,2,52,1,1,1,,,1967,42,,2,1,1,2,22,,,,,1989,,,10,1,1,9,2,,1,6,3,,1,6,1,,1,,0,,,,,,,101002052
1,6,2,52,2,2,2,,,1971,38,,2,1,1,1,25,,,,,1996,,,10,1,1,16,3,,1,6,2,,1,6,1,,1,,3,,,,,,,101002052
1,1,3,4,1,1,1,,,1963,46,,2,1,2,,35,300,,,,1998,,,1,1,1,16,2,,1,7,2,,1,6,1,,1,,0,,,,,,,101003004
1,1,3,5,1,2,1,,,1954,55,,2,1,2,,15,,,1,,1969,,,5,1,1,16,2,,1,6,1,2,,,1,,1,,1,,,,,,,101003005
1,1,3,5,2,2,5,,,1934,75,,2,5,,,17,,,,50,1951,,,5,1,1,16,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101003005
1,1,3,5,3,2,7,,,1998,11,,1,,,,,,,,,,,,1,1,1,16,3,,3,6,3,,2,5,1,,1,,1,,,,,,,101003005
1,1,3,5,4,1,4,,,1999,10,,1,,,,,,,,,,,,1,1,1,16,3,,3,6,3,,2,5,1,,1,,2,,,,,,,101003005
1,1,3,9,1,1,1,,,1976,33,,2,1,1,2,25,50,,,,2001,150,,1,1,1,16,2,,1,6,3,,1,6,1,,1,,0,,,,,,,101003009
1,1,3,9,2,2,2,,,1966,43,,2,1,1,1,35,,,50,,2001,60,,1,1,1,16,3,,1,6,2,,1,6,1,,1,,0,,,,,,,101003009
1,1,3,9,3,2,3,,,2003,6,,1,,,,,,,,,,,,1,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003009
1,1,3,9,4,1,3,,,2005,4,2,1,,,,,,,,,,,,1,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003009
1,1,3,11,1,1,1,,,1978,31,,2,1,1,2,17,210,,,,2004,,,4,1,1,16,2,,1,6,2,,1,5,1,,1,,0,,,,,,,101003011
1,1,3,11,2,2,2,,,1980,29,,2,1,1,1,15,,,180,,2004,,,4,1,1,16,2,,1,6,3,,1,6,1,,1,,0,,,,,,,101003011
1,1,3,11,3,1,3,,,1997,12,,1,,,,,,,,,,,,,,,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003011
1,1,3,11,4,1,3,,,1999,10,,1,,,,,,,,,,,,,,,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003011
1,1,3,11,5,1,3,,,1991,8,,1,,,,,,,,,,,,,,,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003011
1,1,3,11,6,1,3,8,5,2007,2,7,1,,,,,,,,,,,,,,,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003011
1,1,3,11,7,2,3,4,5,2009,0,7,1,,,,,,,,,,,,,,,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003011
1,1,3,12,1,1,1,,,1981,28,,2,1,1,2,23,350,,,,2004,,,5,1,1,16,2,,1,6,3,,1,6,1,,1,,0,,,,,,,101003012
1,1,3,12,2,2,2,,,1982,27,,2,1,1,1,22,,,350,,2004,,,5,1,1,16,3,,3,6,2,,1,5,1,,1,,0,,,,,,,101003012
1,1,3,12,3,1,3,,,2001,8,,1,,,,,,,,,,,,5,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003012
1,1,3,12,4,2,3,28,7,2009,0,4,1,,,,,,,,,,,,5,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003012
1,1,3,13,1,2,1,,,1964,45,,2,6,,,,,,,,,,,4,1,1,16,3,,1,6,3,,1,15,1,,1,,4,,,,,,,101003013
1,1,3,13,2,2,7,,,1992,17,,2,6,,,,,,,,,,,1,1,1,16,3,,1,6,2,,1,5,1,,1,,0,,,,,,,101003013
1,1,3,15,1,1,1,10,10,1969,40,,2,1,1,2,30,,,,,1999,,,5,1,1,16,2,,1,7,2,,1,5,1,,1,,2,,,,,,,101003015
1,1,3,15,2,2,2,,,1973,36,,2,1,1,1,26,,,450,,1999,,,5,1,1,16,2,,1,6,3,,1,6,1,,1,,2,,,,,,,101003015
1,1,3,15,3,1,3,,,2000,9,,1,,,,,,,,,,,,5,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003015
1,1,3,15,4,1,3,,,2004,5,0,1,,,,,,,,,,,,5,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003015
1,1,3,20,1,2,1,,,1929,80,,2,5,,,18,,,,50,1947,,,7,1,1,16,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101003020
1,1,3,26,1,2,1,,,1951,58,,2,4,2,,20,,,10,,1971,3,,5,1,1,16,2,,1,6,2,,1,6,1,,1,,0,,,,,,,101003026
1,1,3,26,2,1,3,,,1981,28,,2,6,,,,,,,,,,,5,1,1,16,2,,1,6,1,1,,,1,,1,,2,,,,,,,101003026
1,1,3,26,3,1,3,,,1982,27,,2,6,,,,,,,,,,,5,1,1,16,2,,1,6,1,1,,,1,,1,,9,,2,6,13,5,,101003026
1,1,3,26,4,1,3,,,1990,19,,2,6,,,,,,,,,,,5,1,1,16,2,,1,6,1,1,,,1,,1,,9,,2,6,13,4,,101003026
1,1,3,32,1,1,1,,,1981,28,,2,6,,,,,,,,,,,5,1,1,16,3,,1,6,2,,1,5,1,,1,,3,,,,,,,101003032
1,1,3,37,1,1,1,,,1949,60,,2,6,,,,,,,,,,,1,1,1,3,2,,1,9,2,,1,6,1,,1,,0,,,,,,,101003037
1,1,3,40,1,1,1,,,1952,57,,2,1,1,2,27,20,,,,1987,,,1,1,1,16,2,,2,6,3,,1,6,1,,1,,3,,,,,,,101003040
1,1,3,40,2,2,2,,,1959,50,,2,1,1,1,20,,,10,,1987,,,1,1,1,16,2,,2,6,2,,1,5,1,,1,,3,,,,,,,101003040
1,1,3,43,1,1,1,,,1959,50,,2,1,1,2,30,80,,,,1989,,,1,1,1,16,2,,1,6,2,,1,6,1,,1,,2,,,,,,,101003043
1,1,3,43,2,2,2,,,1972,37,,2,1,1,1,17,,,50,,1989,,,1,1,1,16,3,,2,7,3,,3,5,1,,1,,1,,,,,,,101003043
1,1,3,43,3,1,3,,,2002,7,,1,,,,,,,,,,,,1,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003043
1,1,3,43,4,2,3,,,2004,5,0,1,,,,,,,,,,,,1,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003043
1,1,3,43,5,2,3,5,1,2008,1,11,1,,,,,,,,,,,,1,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003043
1,1,3,46,1,1,1,15,9,1967,42,,2,1,1,2,23,25,,,,1990,,,10,1,1,16,2,,1,6,3,,1,6,1,,1,,1,,,,,,,101003046
1,1,3,46,2,2,2,2,2,1969,40,,2,1,1,1,21,,,12,70,1990,,,1,1,1,16,3,,1,6,2,,1,6,1,,1,,1,,,,,,,101003046
1,1,3,46,3,2,3,11,7,1993,15,,2,6,,,,,,,,,,,1,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003046
1,1,3,46,4,1,3,23,6,1997,12,,1,,,,,,,,,,,,1,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003046
1,1,3,46,5,1,3,15,6,1999,10,,1,,,,,,,,,,,,1,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003046
1,1,3,46,6,2,3,5,7,2003,6,,1,,,,,,,,,,,,1,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003046
1,1,3,46,7,2,3,15,7,2007,2,5,1,,,,,,,,,,,,1,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101003046
1,1,3,50,1,1,1,22,2,1982,27,,2,2,2,,25,,,,,,,,5,1,1,16,3,,1,6,3,,3,5,1,,1,,1,,,,,,,101003050
1,5,4,1,1,1,1,23,10,1954,55,,2,1,1,2,26,100,,0,,1986,0,,7,1,1,16,2,,1,6,3,,1,6,4,2,1,,0,,,,,,,101004001
1,5,4,1,2,2,2,16,3,1964,45,,2,1,1,1,22,0,,100,,1986,0,,7,1,1,16,2,,1,6,3,,1,6,1,,7,,0,,,,,,,101004001
1,5,4,1,3,2,3,11,5,1990,19,,2,6,,,,,,,,,,,7,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101004001
1,5,4,1,4,2,3,15,11,2000,9,,1,,,,,,,,,,,,7,1,1,16,1,1,,,1,2,,,1,,1,,0,,,,,,,101004001
1,5,4,1,5,1,7,6,5,1986,23,,2,6,,,,,,,,,,,7,1,1,16,3,,1,6,3,,1,6,1,,1,,0,,,,,,,101004001
1,5,4,1,6,1,7,24,4,1992,17,,2,6,,,,,,,,,,,7,1,1,16,3,,1,6,2,,1,6,1,,1,,0,,,,,,,101004001
1,5,4,2,1,1,1,13,4,1989,20,,2,6,,,,,,,,,,,7,1,1,16,3,,9,2,3,,2,5,1,,1,,0,,,,,,,101004002
1,5,4,5,1,2,1,,,1973,36,,2,4,,,18,0,,300,,1991,0,,5,1,1,16,2,,1,5,3,,1,6,1,,1,,0,,,,,,,101004005
