"id1","id2","id3","id4","s9d_id","s9d_i","s9d_ii","s9d_1","s9d_2","s9d_3","s9d_4","s9d_5","s9d_6","s9d_7","s9d_8","s9d_iii","s9d_iv","hhno"
1,2,26,26,5,17,0,"D","B","B","B","B","B","D","B",17,5,101026026
1,2,26,26,3,16,52,"D","C","B","B","D","A","D","B",16,56,101026026
1,2,26,29,2,15,25,"D","C","B","C","D","D","C","B",15,28,101026029
1,2,26,30,2,15,34,"D","C","B","C","B","B","C","D",15,48,101026030
1,2,26,40,3,14,42,"D","C","B","C","D","C","C","C",14,46,101026040
1,2,26,42,3,15,50,"D","C","D","A","C","D","C",,15,57,101026042
1,2,26,43,3,10,41,"D","C","D","B","B","C","B","B",10,44,101026043
1,2,28,15,2,14,30,"D","C","B","C","D","B","A","A",14,43,101028015
1,2,28,21,3,15,0,"D","C","B","C","D","B","A","A",15,14,101028021
1,2,28,21,2,14,45,"D","C","B","C","D","B","B","C",14,58,101028021
1,2,28,26,4,14,53,"D","C","B","C","D","B","A","C",15,2,101028026
1,2,28,26,5,15,3,"D","C","B","C","D","D","C","A",15,11,101028026
1,2,28,26,3,14,40,"D","C","B","C","D","B","B","C",14,52,101028026
1,2,28,28,2,14,5,"D","A","A","B","D","B","A","B",14,15,101028028
1,2,28,34,2,14,30,"D","C","B","C","D","B","B","C",14,38,101028034
1,2,28,34,3,14,39,"D","C","B","C","D","B","B","C",14,49,101028034
1,2,28,34,4,14,50,"D","C","B","B","D","D","A","A",15,1,101028034
1,2,28,35,5,14,41,"D","C","C","B","B","B","C","B",14,54,101028035
1,2,28,35,4,14,28,"D","C","B","C","D","B","A","C",14,40,101028035
1,2,28,35,3,14,19,"D","C","B","C","D","B","B","C",14,27,101028035
1,2,28,41,3,14,2,"D","C","B","C","D","B","B","C",14,10,101028041
1,2,28,41,5,14,11,"D","C","B","C","D","B","A","A",14,20,101028041
1,2,28,44,2,14,20,"D","C","A","B","D","C","C","B",14,29,101028044
1,5,4,1,6,7,32,"D","C","B","C","D","B","B","C",7,33,101004001
1,5,4,1,3,9,22,"D","C","B","C","D","B","B","C",9,25,101004001
1,5,4,1,5,7,25,"D","C","B","C","D","B","B","B",7,26,101004001
1,5,4,1,4,5,41,"B","C","C","A","D","B","A","B",5,43,101004001
1,5,4,2,1,2,20,"D","C","B","B","C","D","B","B",2,23,101004002
1,5,4,6,6,4,55,"D","C","B","B","B","B","D","C",4,56,101004006
1,5,4,6,3,4,43,"D","C","B","C","D","B","B","C",4,45,101004006
1,5,4,6,7,5,23,"D","A","A","A","A","A","A","A",5,27,101004006
1,5,4,10,2,7,3,"C","C","B","B","D","B","B","C",7,7,101004010
1,5,4,10,4,6,10,"D","C","B","C","D","B","D","A",6,13,101004010
1,5,4,10,5,6,20,"D","C","B","C","D","B","C","B",6,22,101004010
1,5,4,10,6,6,45,"D","C","B","B","D","B","B","D",6,46,101004010
1,5,4,10,3,7,10,"D","C","B","C","D","B","B","C",7,12,101004010
1,5,4,10,8,6,50,"D","C","A","B","D","D","B","B",6,52,101004010
1,5,4,16,3,9,50,"C","C","C","C","B","A","C","B",9,54,101004016
1,5,4,16,5,10,24,"D","C","A","A","A","B","C","B",10,25,101004016
1,5,4,16,4,10,5,"D","C","B","A","D","B","A","B",10,7,101004016
1,5,4,20,3,3,43,"D","A","B","B","D","B","B","A",3,45,101004020
1,5,4,20,2,3,35,"D","C","B","B","D","B","C","B",3,36,101004020
1,5,4,27,3,6,45,"D","C","D","D","D","D","C","D",6,48,101004027
1,5,4,31,2,6,15,"D","C","B","C","D","B","A","C",6,16,101004031
1,5,4,32,5,3,51,"D","C","B","B","D","B","B","A",3,54,101004032
1,5,4,32,3,3,32,"D","C","B","C","D","B","B","B",3,35,101004032
1,5,4,32,4,5,37,"D","C","B","B","D","B","B","C",6,41,101004032
1,5,4,32,2,4,54,"D","C","B","C","B","C","B","A",4,56,101004032
1,6,1,2,2,11,40,"D","C","B","D","C","C","B","D",11,44,101001002
1,6,1,3,1,5,30,"D","C","B","C","D","B","B","C",5,32,101001003
1,6,1,4,1,12,30,"D","C","B","C","D","B","B","C",12,32,101001004
1,6,1,9,1,18,18,"D","C","B","C","C","B","B","C",18,20,101001009
1,6,1,9,2,18,20,"D","C","C","C","C","B","B","C",18,22,101001009
1,6,1,12,2,12,0,"D","C","B","C","D","B","B","A",12,5,101001012
1,6,1,15,3,8,3,"D","C","B","C","D","B","B","B",8,7,101001015
1,6,1,22,1,11,10,"A","B","A","A","A","B","A","C",11,20,101001022
1,6,1,23,3,1,25,"D","C","B","C","D","B","B","B",1,27,101001023
1,6,1,23,2,1,20,"D","C","B","C","D","B","B","B",1,25,101001023
1,6,1,24,4,18,44,"A","B","C","D","B","A","A","B",18,47,101001024
1,6,1,24,3,18,35,"A","A","A","C","A","B","C","C",18,40,101001024
1,6,1,26,2,10,30,"C","C","C","C","B","A","B","D",10,35,101001026
1,6,1,34,5,7,8,"D","A","B","C","B","A","A","A",7,15,101001034
1,6,1,34,8,7,17,"D","C","B","C","A","B","D","A",7,20,101001034
1,6,1,34,4,7,5,"D","C","B","A","D","B","B","C",7,7,101001034
1,6,1,35,4,4,13,"D","C","C","B","B","C","C","C",4,15,101001035
1,6,1,35,3,4,5,"D","C","B","C","D","B","B","D",4,7,101001035
1,6,1,35,5,4,24,"D","C","C","C","B","B","D","B",4,27,101001035
1,6,2,16,2,16,20,"D","C","B","C","D","C","B","C",16,30,101002016
1,6,2,19,1,16,47,"D","C","B","C","D","B","B","C",17,3,101002019
1,6,2,25,4,14,17,"D","C","B","C","D","B","B","C",14,19,101002025
1,6,2,25,3,14,11,"D","C","B","C","D","B","B","C",14,13,101002025
1,6,2,28,5,11,5,"D","C","B","B","D","D","C",,11,11,101002028
1,6,2,28,3,10,38,"D","C","B","C","D","B","B","C",10,47,101002028
1,6,2,28,4,10,55,"D","C","B","C","D","B","B",,11,3,101002028
1,6,2,29,1,8,40,"D","C","C","B","C","C","A","B",8,49,101002029
1,6,2,29,2,8,50,"D","C","A","A","C","B","C","A",8,58,101002029
1,6,2,43,1,16,44,"C","C","B","C","D","B","B","C",16,52,101002043
1,6,2,50,1,12,49,"D","C","B","A","D","C","C","A",12,57,101002050
1,8,13,8,3,2,50,"D","C","A","A","A","D","C","B",2,55,101013008
1,8,13,19,3,8,10,"D","B","B","C","D","C","C","A",8,15,101013019
1,8,13,19,2,7,56,"D","C","B","C","D","D","B","A",7,59,101013019
1,8,13,20,3,3,0,"A","C","B","C","D","B","B","C",3,5,101013020
1,8,13,20,4,3,10,"D","C","B","B","D","B","B","C",3,15,101013020
1,8,13,28,3,9,47,"D","C","A","D","C","A","B","B",9,54,101013028
1,8,13,28,4,10,12,"A","B","B","A","B","C","C","A",10,17,101013028
1,8,13,30,1,12,30,"C","C","B","B","D","A","B","B",12,35,101013030
1,8,13,32,2,9,50,"C","B","B","A","D","B","B","A",9,55,101013032
1,8,13,36,5,2,40,"B","A","C","A","C","A","B","C",2,45,101013036
1,8,13,36,3,11,30,"D","C","B","B","D","D","B","A",11,35,101013036
1,8,13,36,4,1,50,"D","C","B","C","A","A","A","B",1,55,101013036
1,8,14,15,5,8,25,"D","C","B","B","D","B","A","B",8,27,101014015
1,8,14,15,4,8,30,"D","C","B","C","D","D","B","C",8,35,101014015
1,8,14,15,3,9,4,"D","C","B","C","D","D","C","C",9,7,101014015
1,8,14,15,6,8,51,"D","C","B","C","D","D","C","C",8,53,101014015
1,8,14,33,1,3,45,"D","C","B","A","D","B","B","A",3,46,101014033
1,8,14,33,2,3,46,"B","C","D","A","D","B","B","A",3,48,101014033
1,8,14,41,4,12,35,"D","C","B","C","D","B","B","B",12,40,101014041
1,8,14,41,3,12,25,"D","C","B","C","D","D","C","C",12,30,101014041
1,8,14,46,2,3,11,"D","C","D","C","D","B","B","C",3,12,101014046
1,8,14,46,3,3,17,"D","C","B","C","D","D","B","C",3,18,101014046
1,8,14,46,6,3,29,"D","C","B","C","D","C","B","B",3,31,101014046
1,8,14,46,7,3,45,"D","C","B","C","D","D","B","C",3,47,101014046
1,8,14,57,4,12,40,"D",,"C","B","C","D","A","C",12,45,101014057
1,8,14,57,5,12,50,"D","C","A","A","C","A","D",,12,55,101014057
1,8,14,57,6,1,0,"B","C","A","C","D","B","C","B",1,5,101014057
1,8,14,57,3,12,30,"D","C","B","C","B","C","B","C",12,35,101014057
1,8,14,61,1,18,2,"D","C","B","C","D","B","B","C",18,5,101014061
1,8,14,65,3,6,32,"D","C","B","C","D","B","B","C",6,34,101014065
1,8,14,69,2,11,30,"B","C","B","D","C","B","D","D",11,35,101014069
1,8,14,82,3,2,50,"D","C","B","C","D","C","C","A",2,55,101014082
1,8,14,82,4,3,0,"D","C","B","C","B","B","B","C",3,5,101014082
1,8,14,82,5,3,10,"D","C","B","B","D","C","B","B",3,15,101014082
1,8,14,118,2,2,37,"D","B","B","A","B","B","D","D",2,39,101014118
1,8,14,129,2,3,22,"D","D","A","A","B","D","C","B",3,24,101014129
1,8,15,34,2,3,4,"D","C","B","C","D","D","B","C",3,6,101015034
1,8,15,55,3,3,40,"D","B","D","D","D","A","A","D",3,42,101015055
1,8,15,55,2,3,25,"D","C","B","B","D","C","B","A",3,27,101015055
1,8,15,65,6,8,5,"C","B","D","D","A","B","D","B",8,7,101015065
1,8,15,65,4,7,38,"C","A","B","B","D","B","C","A",7,40,101015065
1,8,15,65,3,7,16,"D","C","B","B","D","B","B","B",7,19,101015065
1,8,15,65,5,8,4,"A","C","B","B","A","D","B","C",8,6,101015065
1,8,15,65,9,8,50,"D","A","A","B","D","B","B","A",8,54,101015065
1,8,15,120,2,4,14,"D","C","B","C","D","D","B","C",4,15,101015120
1,8,15,188,1,11,30,"D","C","B","D","B","D","B","B",11,36,101015188
1,8,15,194,1,11,53,"D","A","A","A","A","A","B","A",11,55,101015194
1,8,16,41,3,12,10,"D","C","B","B","B","B","C","B",12,12,101016041
1,8,16,41,4,12,20,"D","B","C","C","D","D","C","D",12,22,101016041
1,8,16,111,2,12,21,"D","C","B","C","D","D","A","A",12,23,101016111
1,8,16,137,4,7,55,"D","C","B","B","D","B","C","B",8,0,101016137
1,8,16,137,2,7,19,"D","C","B","D","D","B","B","C",7,22,101016137
1,8,16,144,3,5,7,"D","B","B","B","D","B","C","B",5,9,101016144
1,8,16,144,4,5,27,"D","C","B","B","D","B","A","B",5,29,101016144
1,8,16,145,1,11,52,"D","C","B","C","B","B","C","B",11,56,101016145
1,8,16,154,4,5,9,"A","C","D","B","D","C","A","B",5,10,101016154
1,8,16,217,5,6,51,"D","C","C","C","C","C","C","C",6,54,101016217
1,10,17,2,3,14,30,"D","C","B","C","D","B","B","C",14,40,101017002
1,10,17,2,4,14,41,"D","C","B","C","D","B","A","A",14,52,101017002
1,10,17,4,3,14,24,"D","C","B","C","D","B","A","C",14,30,101017004
1,10,17,11,2,14,45,"D","C","B","C","D","B","A","A",14,55,101017011
1,10,17,19,3,14,20,"D","C","B","C","D","B","B","C",14,25,101017019
1,10,17,20,1,15,1,"D","C","A","B","D","B","B","B",15,9,101017020
1,10,17,21,3,14,45,"D","C","B","C","D","B","C","A",14,55,101017021
1,10,17,21,4,14,56,"D","C","B","B","D","D","D","B",15,9,101017021
1,10,17,22,3,14,20,"D","C","B","C","D","B","A","D",14,28,101017022
1,10,17,31,2,14,,"D","C","B","C","D","B","C","A",14,10,101017031
1,10,17,49,1,14,45,"D","C","B","C","D","B","B","C",14,50,101017049
1,10,17,56,2,14,40,"D","C","B","C","D","B","A","A",14,51,101017056
1,10,17,57,2,13,45,"D","C","A","B","D","D","A","A",13,54,101017057
1,10,18,2,3,7,6,"D","C","B","B","B","D","B","D",7,9,101018002
1,10,18,11,1,19,3,"D","C","B","C","D","C","C","C",19,7,101018011
1,10,18,14,3,14,48,"D","C","B","C","D","B","B","C",14,49,101018014
1,10,18,14,5,14,52,"D","C","B","B","B","D","C","D",14,56,101018014
1,10,18,14,4,14,50,"D","C","B","C","D","B","B","C",14,57,101018014
1,10,18,14,6,14,57,"D","C","B","C","C","C","B","B",15,2,101018014
1,10,18,18,1,8,58,"D","C","B","B","D","B","B","C",8,59,101018018
1,10,18,19,1,14,0,"D","C","B","B","D","B","B","A",14,9,101018019
1,10,18,27,3,14,40,"D","C","B","B","D","D","C","A",14,49,101018027
