"id1","id2","id3","id4","hhmid","s9a_iii","s9a_01","s9a_02","s9a_03","s9a_a1","s9a_a2","s9a_a3","s9a_a4","s9a_a5","s9a_a6","s9a_a7","s9a_a8","s9a_a9","s9a_a10","s9a_a11","s9a_a12","s9a_a13","s9a_a14i","s9a_a14ii","hhno"
1,10,27,31,4,2,1,,,1,24,1,3,5,2,2,1,,,2,,,,,101027031
1,10,27,60,3,2,1,,,1,87,1,3,6,2,2,1,,,1,5,2,,,101027060
1,2,28,9,7,2,1,,,1,87,6,6,4,2,2,1,0,0,1,12,2,,,101028009
1,2,28,15,3,1,1,,,1,24,1,1,5,2,2,1,0,0,1,12,2,,,101028015
1,2,28,21,4,1,1,,,1,18,1,1,6,2,2,1,0,0,1,12,2,,,101028021
1,2,28,26,7,2,1,,,1,17,6,6,12,2,2,1,0,0,,12,2,,,101028026
1,2,28,28,3,2,1,,,1,18,1,1,12,2,2,1,0,0,1,12,2,,,101028028
1,2,28,41,6,2,1,,,1,24,6,6,7,2,2,1,0,0,1,12,2,,,101028041
1,2,28,44,5,2,1,,,1,87,3,3,4,2,2,1,0,0,1,5,2,,,101028044
1,12,29,2,4,2,1,,,1,24,1,1,16,2,2,1,,,2,,,,,101029002
1,12,29,4,5,2,1,,,1,87,1,3,3,2,2,1,,,1,7,2,,,101029004
1,12,29,11,3,2,1,,,1,18,1,4,4,2,2,1,,,1,12,2,,,101029011
1,12,29,17,2,1,1,,,1,18,6,6,6,2,2,3,,,2,,,,,101029017
1,12,29,20,2,1,1,,,1,18,1,2,2,2,2,1,,,1,12,1,0,20,101029020
1,12,30,6,7,1,1,,,1,87,6,6,8,2,2,1,,,1,4,2,,,101030006
1,12,30,21,5,1,1,,,2,,6,6,7,1,,3,,,1,3,2,,,101030021
1,12,30,38,8,3,1,,,2,2,1,3,3,2,2,1,,,2,,,,,101030038
1,12,30,54,5,2,1,,,1,24,,3,7,2,2,1,,,2,,,,,101030054
1,12,30,54,6,2,1,,,1,87,,5,87,2,2,1,,,1,8,1,,20,101030054
1,1,31,1,6,3,1,,,1,15,6,6,8,2,2,1,0,0,2,,,,,101031001
1,1,31,5,3,2,1,,,1,87,6,6,12,2,2,1,0,0,2,,,,,101031005
2,2,32,5,4,2,1,,,1,12,6,6,2,2,2,4,0,0,2,,,,,102032005
2,2,32,5,5,2,2,1,2,1,12,6,6,6,2,2,3,0,0,2,,,,,102032005
2,2,32,8,4,,1,,,1,12,1,1,1,2,2,3,0,0,2,,,,,102032008
2,2,32,10,6,2,1,,,1,16,6,6,6,2,2,1,0,0,2,,,,,102032010
2,2,32,10,7,2,1,,,1,18,6,6,6,2,2,1,0,0,2,,,,,102032010
2,2,32,18,3,1,1,,,1,6,6,6,6,2,2,2,1,0,2,,,,,102032018
2,2,33,2,3,1,2,4,,1,18,6,6,9,2,2,3,,,1,3,1,8,,102033002
2,2,33,10,6,2,1,,,1,12,6,6,6,2,2,1,,,1,12,2,,,102033010
2,2,33,12,6,2,2,4,,1,18,1,6,6,2,2,1,,,2,,,,,102033012
2,2,33,16,6,2,1,,,1,15,1,3,3,2,2,1,,,2,,,,,102033016
2,2,33,71,4,1,2,2,,1,15,3,5,5,2,2,1,,,2,,,,,102033071
2,2,34,7,4,2,1,,,1,24,3,3,3,2,2,1,,1,2,,,,,102034007
2,2,34,19,4,2,2,,1,1,87,87,87,87,2,2,1,,,1,2,2,,,102034019
2,2,34,66,4,2,1,,,1,12,6,6,6,2,2,1,,1,1,1,1,,50,102034066
2,2,34,73,3,2,1,,,1,20,6,6,6,2,2,1,,,2,,,,,102034073
2,2,34,150,3,2,1,,,1,24,6,6,6,2,2,1,,,2,,,,,102034150
2,2,34,150,4,2,1,,,1,87,6,6,6,2,2,1,,,1,4,2,,,102034150
2,2,34,164,4,1,1,,,1,12,6,6,6,2,2,3,,,2,,,,,102034164
2,2,35,14,3,2,2,1,,,17,6,6,15,2,2,1,0,0,2,,,,,102035014
2,2,35,27,3,1,2,,10,1,87,0,3,6,2,2,1,0,0,1,2,2,,,102035027
2,3,36,5,2,1,1,,,1,18,3,6,6,2,2,3,,3,2,,,,,102036005
2,3,36,5,3,1,1,,,1,87,6,6,6,2,2,1,,,1,2,,,,102036005
2,3,36,6,6,2,1,,,1,24,6,6,6,2,2,1,,2,2,,,,,102036006
2,2,37,1,3,2,1,,,2,2,1,2,6,2,2,1,0,0,1,6,2,,,102037001
2,2,37,5,4,2,1,,,1,3,1,3,24,2,,2,0,0,2,,,,,102037005
2,2,37,21,4,2,1,,,1,1,1,2,5,1,,7,2,0,1,4,2,,,102037021
2,2,37,21,5,2,1,,,1,1,1,2,6,2,,7,0,0,1,5,2,,,102037021
2,2,37,30,6,2,1,,,1,18,6,0,12,2,2,7,2,0,2,,,,,102037030
2,2,37,30,8,2,1,,,1,24,6,4,4,2,2,7,2,0,2,,,,,102037030
2,31,38,8,3,1,1,,,1,12,1,1,7,2,2,3,,,1,7,2,,,102038008
2,31,38,10,6,2,1,,,1,24,1,12,12,2,2,3,,,2,,,,,102038010
2,31,38,14,3,1,1,,,1,18,1,3,8,2,2,1,,,2,,,,,102038014
2,31,38,18,7,2,1,,,1,8,,8,8,2,,3,,,1,12,2,,,102038018
2,31,38,29,4,2,1,,,1,8,6,7,10,2,2,3,,,1,7,2,,,102038029
2,31,38,31,5,1,1,,,1,27,8,12,24,2,2,1,,,2,,,,,102038031
2,31,38,31,6,1,1,,,1,87,8,5,24,2,2,1,,,1,11,2,,,102038031
2,31,38,33,3,1,1,,,1,18,6,6,12,2,2,3,,,2,,,,,102038033
2,31,38,33,4,1,1,,,1,87,6,6,87,2,2,1,,,1,8,2,,,102038033
2,31,38,59,7,2,1,,,1,24,1,6,12,2,2,1,,,1,5,2,,,102038059
2,31,39,22,5,1,2,,,1,87,6,6,6,2,2,5,3,0,1,10,2,,,102039022
2,31,39,54,3,2,1,,,1,18,6,6,6,1,,1,0,0,1,12,2,,,102039054
2,31,39,54,4,2,1,,,1,87,3,87,87,1,,1,0,0,1,5,2,,,102039054
2,31,39,57,6,2,1,,,1,87,6,6,6,2,2,1,0,0,1,12,2,,,102039057
2,31,40,2,2,1,2,,,1,16,6,6,8,2,2,3,,,2,,,,,102040002
2,31,40,14,7,1,2,,,1,16,1,12,12,2,2,3,,,2,,,,,102040014
2,31,40,38,6,2,2,3,3,1,18,6,6,6,2,2,1,,,1,8,2,,,102040038
2,29,41,60,5,2,1,,,1,12,6,6,6,2,2,1,0,0,2,,,,,102041060
2,29,41,60,6,2,1,,,1,12,6,6,6,2,2,1,0,0,2,,,,,102041060
2,29,41,80,5,2,1,,,1,24,6,6,6,2,2,1,0,0,2,,,,,102041080
2,29,42,14,6,1,1,,,1,3,3,3,3,2,2,1,1,,1,3,2,,,102042014
2,29,42,20,4,1,1,,,1,17,3,3,3,2,2,1,2,,1,1,1,,,102042020
2,29,42,23,4,1,1,,,2,19,6,6,6,2,2,1,1,,1,4,2,,,102042023
