"id1","id2","id3","id4","entno","s5f_1i","s5f_1ii","s5f_1iii","s5f_1iv","s5f_2i","s5f_2ii","s5f_2iii","s5f_2iv","s5f_3i","s5f_3ii","s5f_3iii","s5f_3iv","s5f_4i","s5f_4ii","s5f_4iii","s5f_4iv","s5f_5i","s5f_5ii","s5f_5iii","s5f_5iv","s5f_6i","s5f_6ii","s5f_6iii","s5f_6iv","s5f_7i","s5f_7ii","s5f_7iii","s5f_7iv","s5f_8i","s5f_8ii","s5f_8iii","s5f_8iv","s5f_9i","s5f_9ii","s5f_9iii","s5f_9iv","s5f_10i","s5f_10ii","s5f_10iii","s5f_10iv","s5f_11","s5f_11i","s5f_11ii","s5f_11iii","s5f_11iv","hhno"
1,8,14,129,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014129
1,8,15,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015065
1,8,15,65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015065
1,8,15,119,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015119
1,8,15,120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015120
1,8,15,188,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015188
1,8,16,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016041
1,8,16,51,2,,,,,15,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016051
1,8,16,51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016051
1,8,16,53,1,,,,,90,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016053
1,8,16,144,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016144
1,8,16,145,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016145
1,8,16,154,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016154
1,8,16,217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101016217
1,10,17,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101017004
1,10,17,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101017031
1,10,18,11,1,,,,,15,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101018011
1,10,18,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101018014
1,10,18,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101018027
1,10,18,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101018033
1,10,18,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101018043
1,10,18,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101018058
1,10,18,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101018059
1,10,19,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101019004
1,10,19,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101019005
1,10,19,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101019010
1,10,19,17,1,,,,,20,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101019017
1,10,19,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101019020
1,10,20,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101020006
1,10,20,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101020021
1,10,20,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101020026
1,10,20,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101020037
1,10,21,7,1,,,,,40,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101021007
1,10,21,68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101021068
1,10,21,69,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101021069
1,10,21,69,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101021069
1,16,23,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101023013
1,16,23,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101023031
1,17,24,28,1,,,,,200,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101024028
1,17,24,39,1,,,,,80,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101024039
1,17,24,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101024039
1,2,26,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026010
1,2,26,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026017
1,2,26,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026023
1,2,26,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026024
1,2,26,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101026029
1,10,27,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101027010
1,2,28,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028026
1,2,28,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028031
1,2,28,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028032
1,2,28,43,1,,,,,20,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028043
1,2,28,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101028044
1,12,29,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101029002
1,12,29,2,2,,,,,140,0,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101029002
1,12,29,8,1,,,,,,40,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101029008
1,12,29,20,1,,,,,95,0,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101029020
1,12,29,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101029029
1,12,29,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101029039
1,12,29,40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101029040
1,12,30,30,1,,,,,50,0,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101030030
1,12,30,63,1,,,,,100,0,360,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101030063
1,1,31,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101031001
1,1,31,5,1,500,0,2000,0,100,0,600,0,6,0,150,0,,,,,,,,,,,,,,,,,,,,,100,0,400,0,,,,,,,,,,101031005
1,1,31,15,1,200,0,550,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101031015
1,1,31,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101031021
1,1,31,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101031038
1,1,31,47,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101031047
1,1,31,70,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101031070
1,1,31,73,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101031073
1,1,31,74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101031074
1,1,31,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101031084
2,2,32,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102032002
2,2,32,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102032005
2,2,32,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102032008
2,2,32,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102032010
2,2,32,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102032011
2,2,32,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102032014
2,2,32,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102032015
2,2,32,18,1,,,,,50,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102032018
2,2,32,64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102032064
2,2,32,64,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102032064
2,2,32,84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102032084
