"id1","id2","id3","id4","s10c_0","hhno"
2,5,51,71,1,102051071
2,6,45,2,1,102045002
2,6,45,4,1,102045004
2,6,45,13,1,102045013
2,6,45,18,1,102045018
2,6,45,26,1,102045026
2,6,45,34,1,102045034
2,6,45,39,1,102045039
2,6,45,47,1,102045047
2,6,45,51,1,102045051
2,6,45,56,1,102045056
2,6,45,59,1,102045059
2,6,45,60,1,102045060
2,6,45,87,1,102045087
2,6,45,91,1,102045091
2,6,45,106,1,102045106
2,7,50,1,1,102050001
2,7,50,4,1,102050004
2,7,50,5,1,102050005
2,7,50,6,2,102050006
2,7,50,8,1,102050008
2,7,50,11,1,102050011
2,7,50,12,1,102050012
2,7,50,13,1,102050013
2,7,50,14,1,102050014
2,7,50,16,1,102050016
2,7,50,18,2,102050018
2,7,50,19,1,102050019
2,7,50,23,1,102050023
2,7,50,27,1,102050027
2,8,52,6,1,102052006
2,8,52,9,1,102052009
2,8,52,12,1,102052012
2,8,52,18,1,102052018
2,8,52,24,1,102052024
2,8,52,28,1,102052028
2,8,52,31,1,102052031
2,8,52,38,1,102052038
2,8,52,41,1,102052041
2,8,52,43,1,102052043
2,8,52,56,1,102052056
2,8,52,58,1,102052058
2,8,52,71,1,102052071
2,8,52,74,1,102052074
2,8,52,77,1,102052077
2,9,54,2,1,102054002
2,9,54,4,2,102054004
2,9,54,11,1,102054011
2,9,54,19,1,102054019
2,9,54,20,1,102054020
2,9,54,27,1,102054027
2,9,54,32,1,102054032
2,9,54,39,1,102054039
2,9,54,41,1,102054041
2,9,54,50,1,102054050
2,9,54,53,2,102054053
2,9,54,58,1,102054058
2,9,54,60,1,102054060
2,9,54,61,1,102054061
2,9,54,67,1,102054067
2,9,55,7,2,102055007
2,9,55,15,1,102055015
2,9,55,17,1,102055017
2,9,55,34,3,102055034
2,9,55,63,1,102055063
2,9,55,64,1,102055064
2,9,55,74,1,102055074
2,9,55,94,1,102055094
2,9,55,102,1,102055102
2,9,55,109,1,102055109
2,9,55,120,1,102055120
2,9,55,121,1,102055121
2,9,55,124,1,102055124
2,9,55,127,1,102055127
2,9,55,135,1,102055135
2,19,49,5,1,102049005
2,19,49,14,1,102049014
2,19,49,19,1,102049019
2,19,49,27,1,102049027
2,19,49,29,1,102049029
2,19,49,30,1,102049030
2,19,49,39,1,102049039
2,19,49,58,1,102049058
2,19,49,65,1,102049065
2,19,49,66,1,102049066
2,19,49,75,1,102049075
2,19,49,80,1,102049080
2,19,49,110,1,102049110
2,19,49,118,1,102049118
2,19,49,129,1,102049129
2,20,48,15,1,102048015
2,20,48,22,1,102048022
2,20,48,28,1,102048028
2,20,48,34,1,102048034
2,20,48,37,1,102048037
2,20,48,39,1,102048039
2,20,48,51,1,102048051
2,20,48,52,1,102048052
2,20,48,54,1,102048054
2,20,48,55,1,102048055
2,20,48,58,1,102048058
2,20,48,67,1,102048067
2,20,48,68,1,102048068
2,20,48,78,1,102048078
2,20,48,98,1,102048098
2,22,53,2,1,102053002
2,22,53,10,1,102053010
2,22,53,27,1,102053027
2,22,53,29,1,102053029
2,22,53,40,1,102053040
2,22,53,47,1,102053047
2,22,53,58,1,102053058
2,22,53,59,1,102053059
2,22,53,74,1,102053074
2,22,53,76,1,102053076
2,22,53,79,1,102053079
2,22,53,85,1,102053085
2,22,53,87,1,102053087
2,22,53,88,1,102053088
2,22,53,89,1,102053089
