date,btc
2/9/17,4612.919922
3/9/17,4267.450195
4/9/17,4409.080078
5/9/17,4618.709961
6/9/17,4635.600098
7/9/17,4326.450195
8/9/17,4335.129883
9/9/17,4245.890137
10/9/17,4217.899902
11/9/17,4158.919922
12/9/17,3870.290039
13/9/17,3243.080078
14/9/17,3713.76001
15/9/17,3698.919922
16/9/17,3689.610107
17/9/17,4100.279785
18/9/17,3907.959961
19/9/17,3882.159912
20/9/17,3617.27002
21/9/17,3600.830078
22/9/17,3788.02002
23/9/17,3667.52002
24/9/17,3932.830078
25/9/17,3892.699951
26/9/17,4212.200195
27/9/17,4195.649902
28/9/17,4172.790039
29/9/17,4360.620117
30/9/17,4403.089844
1/10/17,4401.319824
2/10/17,4314.180176
3/10/17,4218.660156
4/10/17,4321.439941
5/10/17,4371.939941
6/10/17,4435.810059
7/10/17,4611.700195
8/10/17,4777.490234
9/10/17,4763.359863
10/10/17,4824.200195
11/10/17,5432.620117
12/10/17,5637.259766
13/10/17,5824.709961
14/10/17,5688.140137
15/10/17,5759.330078
16/10/17,5598.580078
17/10/17,5575.830078
18/10/17,5698.649902
19/10/17,5993.109863
20/10/17,6006.649902
21/10/17,5982.859863
22/10/17,5903.609863
23/10/17,5513.080078
24/10/17,5734
25/10/17,5887.609863
26/10/17,5764.560059
27/10/17,5726.609863
28/10/17,6147.52002
30/10/17,6124.279785
31/10/17,6451.240234
1/11/17,6737.779785
2/11/17,7024.810059
3/11/17,7152.120117
4/11/17,7363.799805
5/11/17,7389.549805
6/11/17,6959.22998
7/11/17,7102.75
8/11/17,7444.359863
9/11/17,7129.589844
10/11/17,6565.799805
11/11/17,6339.859863
12/11/17,5878.129883
13/11/17,6522.450195
14/11/17,6597.060059
15/11/17,7283.220215
16/11/17,7853.680176
17/11/17,7699.950195
18/11/17,7780.910156
19/11/17,8042.640137
20/11/17,8244.69043
21/11/17,8099.970215
22/11/17,8234.549805
23/11/17,8013.410156
24/11/17,8200.799805
25/11/17,8754.69043
26/11/17,9318.419922
27/11/17,9733.200195
28/11/17,9906.040039
29/11/17,9837.860352
30/11/17,9946.759766
1/12/17,10861.46973
2/12/17,10912.73047
3/12/17,11246.20996
4/12/17,11623.91016
5/12/17,11667.12988
6/12/17,13749.57031
7/12/17,16850.31055
8/12/17,16047.61035
9/12/17,14843.41992
10/12/17,15059.59961
11/12/17,16732.4707
12/12/17,17083.90039
13/12/17,16286.82031
14/12/17,16467.91016
15/12/17,17604.84961
16/12/17,19345.49023
17/12/17,19065.71094
18/12/17,18972.32031
19/12/17,17523.69922
20/12/17,16461.9707
21/12/17,15632.12012
22/12/17,13664.96973
23/12/17,14396.45996
24/12/17,13789.9502
25/12/17,13833.49023
26/12/17,15756.55957
27/12/17,15416.63965
28/12/17,14398.7002
29/12/17,14392.57031
30/12/17,12531.51953
31/12/17,13850.40039
1/1/18,13444.87988
2/1/18,14754.12988
3/1/18,15156.62012
4/1/18,15180.08008
5/1/18,16954.7793
