"id1","id2","id3","id4","animal_id","s3ai_1","s3ai_2i","s3ai_2ii","s3ai_3i","s3ai_3ii","s3ai_4","s3ai_5i","s3ai_5ii","s3ai_6i","s3ai_6ii","s3ai_7i","s3ai_7ii","s3ai_8i","s3ai_8ii","s3ai_9i","s3ai_9ii","s3ai_10i","s3ai_10ii","s3ai_11i","s3ai_11ii","s3ai_12i","s3ai_12ii","hhno"
1,10,27,11,7,32,1,,170,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,101027011
1,10,27,13,3,5,3,,400,0,1,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,101027013
1,10,27,13,7,3,3,,15,0,1,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,101027013
1,10,27,13,4,30,3,,900,0,1,0,0,80,0,20,0,0,0,0,0,0,0,0,0,0,0,101027013
1,10,27,20,7,6,3,,16,50,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,101027020
1,10,27,23,4,2,1,,90,0,2,0,0,15,0,5,0,20,0,10,0,0,0,0,0,0,0,101027023
1,10,27,32,7,10,3,,80,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,101027032
1,10,27,40,7,40,1,,150,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,101027040
1,10,27,60,7,6,1,,90,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,101027060
1,10,27,60,4,8,1,,80,0,1,20,0,50,0,60,0,0,0,0,0,0,0,0,0,0,0,101027060
1,2,28,8,7,5,3,,18,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,101028008
1,2,28,9,7,40,3,,200,0,1,30,0,0,0,0,0,28,0,0,0,0,0,0,0,40,0,101028009
1,2,28,15,7,20,3,,100,0,1,20,0,0,0,0,0,12,0,0,0,0,0,0,0,15,0,101028015
1,2,28,28,7,55,3,,350,0,2,0,0,60,0,0,0,10,0,0,0,0,0,0,0,45,0,101028028
1,2,28,31,3,3,3,,180,0,1,40,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,101028031
1,2,28,32,7,50,3,,300,0,1,100,0,0,0,0,0,10,0,10,0,0,0,0,0,24,0,101028032
1,2,28,34,7,40,3,,200,0,1,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,101028034
1,2,28,41,7,50,3,,200,0,1,100,0,0,0,0,0,30,0,0,0,0,0,0,0,50,0,101028041
