"id1","id3","id4","s3aii_0","s3aii_a","s3aii_b1","s3aii_b2","s3aii_c1","s3aii_c2","hhno"
1,30,5,,,,,0,0,101030005
1,19,5,,,,,0,0,101019005
1,3,5,,,,,0,0,101003005
1,19,5,,,,,0,0,101019005
1,31,5,,,,,0,0,101031005
1,3,5,,,,,0,0,101003005
1,22,5,,,,,0,0,101022005
1,3,5,,,,,0,0,101003005
1,30,5,9,1,"1",,2,0,101030005
1,4,5,14,1,"1",,2,0,101004005
1,22,5,,,,,0,0,101022005
1,22,5,,,,,0,0,101022005
1,19,5,,,,,0,0,101019005
1,4,5,,,,,0,0,101004005
1,3,5,14,1,"1",,4,0,101003005
1,31,5,14,1,"1",,4,50,101031005
1,19,5,,,,,0,0,101019005
1,4,5,,,,,0,0,101004005
1,22,5,,,,,0,0,101022005
1,3,5,4,3,"1",,6,50,101003005
1,3,5,,,,,0,0,101003005
1,19,5,4,2,"1",,7,0,101019005
1,22,5,,,,,0,0,101022005
1,22,5,,,,,0,0,101022005
1,3,5,,,,,0,0,101003005
1,31,5,,,,,0,0,101031005
1,31,5,,,,,0,0,101031005
1,22,5,7,1,"1",,5,0,101022005
1,3,5,,,,,0,0,101003005
1,30,5,,,,,0,0,101030005
1,4,5,,,,,0,0,101004005
1,22,5,,,,,0,0,101022005
1,3,5,8,1,"1",,5,0,101003005
1,22,5,,,,,0,0,101022005
1,3,5,,,,,0,0,101003005
1,30,5,,,,,0,0,101030005
1,19,5,14,5,"1",,15,0,101019005
1,30,5,,,,,0,0,101030005
1,4,5,,,,,0,0,101004005
1,4,5,,,,,0,0,101004005
1,30,5,,,,,0,0,101030005
1,30,5,,,,,0,0,101030005
1,30,5,,,,,0,0,101030005
1,19,5,,,,,0,0,101019005
1,3,5,,,,,0,0,101003005
1,31,5,,,,,0,0,101031005
1,22,5,,,,,0,0,101022005
1,31,5,,,,,0,0,101031005
1,4,5,,,,,0,0,101004005
1,4,5,,,,,0,0,101004005
1,3,5,,,,,0,0,101003005
1,30,5,,,,,0,0,101030005
1,4,5,,,,,0,0,101004005
1,22,5,,,,,0,0,101022005
1,4,5,4,1,"1",,2,0,101004005
1,19,5,,,,,0,0,101019005
1,30,5,,,,,0,0,101030005
1,3,5,,,,,0,0,101003005
1,19,5,,,,,0,0,101019005
1,31,5,,,,,0,0,101031005
1,22,5,16,2,"1",,750,0,101022005
1,30,5,,,,,0,0,101030005
1,4,5,7,1,"1",,2,0,101004005
1,30,5,14,2,"1","1",16,0,101030005
1,4,5,6,1,"1",,3,0,101004005
1,31,5,,,,,0,0,101031005
1,31,5,,,,,0,0,101031005
1,4,5,,,,,0,0,101004005
1,22,5,9,3,"1",,6,0,101022005
1,19,5,,,,,0,0,101019005
1,31,5,4,1,"1",,5,0,101031005
1,19,5,,,,,0,0,101019005
1,19,5,,,,,0,0,101019005
1,31,5,,,,,0,0,101031005
1,19,5,,,,,0,0,101019005
1,22,5,,,,,0,0,101022005
1,31,5,,,,,0,0,101031005
1,31,5,,,,,0,0,101031005
1,31,5,,,,,0,0,101031005
1,30,5,,,,,0,0,101030005
1,19,5,,,,,0,0,101019005
1,22,5,14,8,,,50,0,101022005
1,13,6,,,,,0,0,101013006
1,29,6,,,,,0,0,101029006
1,20,6,,,,,0,0,101020006
1,29,6,,,,,0,0,101029006
1,20,6,4,3,"1",,10,0,101020006
1,30,6,,,,,0,0,101030006
1,4,6,16,1,"1",,20,0,101004006
1,4,6,8,2,"1",,10,0,101004006
1,30,6,,,,,0,0,101030006
1,25,6,8,3,"1",,30,0,101025006
1,30,6,7,1,"1",,6,0,101030006
1,29,6,4,2,"1",,7,0,101029006
1,4,6,,,,,0,0,101004006
1,30,6,,,,,0,0,101030006
1,4,6,,,,,0,0,101004006
1,20,6,,,,,0,0,101020006
1,15,6,14,3,"1","2",20,0,101015006
1,25,6,,,,,0,0,101025006
1,25,6,,,,,0,0,101025006
1,13,6,,,,,0,0,101013006
1,19,6,4,1,"1",,2,0,101019006
1,13,6,9,1,"1",,1,20,101013006
1,4,6,,,,,0,0,101004006
1,30,6,,,,,0,0,101030006
1,20,6,,,,,0,0,101020006
1,26,6,,,,,0,0,101026006
1,25,6,,,,,0,0,101025006
1,30,6,,,,,0,0,101030006
1,20,6,,,,,0,0,101020006
1,19,6,,,,,0,0,101019006
1,26,6,,,,,0,0,101026006
1,13,6,,,,,0,0,101013006
1,30,6,,,,,0,0,101030006
1,4,6,,,,,0,0,101004006
1,13,6,,,,,0,0,101013006
1,26,6,14,2,"1","2",10,0,101026006
1,4,6,21,12,"1",,40,0,101004006
1,30,6,,,,,0,0,101030006
1,4,6,23,4,"1",,30,0,101004006
1,20,6,14,3,"1",,15,0,101020006
1,26,6,,,,,0,0,101026006
1,26,6,,,,,0,0,101026006
1,29,6,,,,,0,0,101029006
1,25,6,,,,,0,0,101025006
1,26,6,,,,,0,0,101026006
1,19,6,,,,,0,0,101019006
1,19,6,,,,,0,0,101019006
1,13,6,,,,,0,0,101013006
1,20,6,,,,,0,0,101020006
1,25,6,14,4,"1",,40,0,101025006
1,4,6,,,,,0,0,101004006
1,4,6,7,10,"1",,40,0,101004006
1,26,6,,,,,0,0,101026006
1,29,6,,,,,0,0,101029006
1,20,6,5,1,"1",,4,0,101020006
1,19,6,,,,,0,0,101019006
1,29,6,14,4,"1",,20,0,101029006
1,25,6,4,2,"1",,10,0,101025006
1,20,6,7,1,"1",,6,0,101020006
1,29,6,8,1,"1",,4,0,101029006
1,13,6,,,,,0,0,101013006
1,19,6,,,,,0,0,101019006
1,30,6,,,,,0,0,101030006
1,25,6,,,,,0,0,101025006
1,20,6,,,,,0,0,101020006
1,4,6,,,,,0,0,101004006
1,26,6,,,,,0,0,101026006
1,15,6,,,,,0,0,101015006
1,20,6,,,,,0,0,101020006
1,4,6,20,6,"1",,300,0,101004006
1,26,6,,,,,0,0,101026006
1,30,6,14,3,"1",,15,0,101030006
1,13,6,4,2,"1",,4,0,101013006
1,25,6,,,,,0,0,101025006
1,20,6,,,,,0,0,101020006
1,30,6,4,1,"1",,3,0,101030006
1,15,6,,,,,0,0,101015006
1,11,6,,,,,0,0,101011006
1,15,6,,,,,0,0,101015006
1,25,6,,,,,0,0,101025006
1,25,6,,,,,0,0,101025006
1,15,6,,,,,0,0,101015006
1,19,6,,,,,0,0,101019006
1,13,6,14,2,"1",,10,0,101013006
1,19,6,,,,,0,0,101019006
1,4,6,4,4,"1",,6,0,101004006
1,19,6,,,,,0,0,101019006
1,19,6,,,,,0,0,101019006
1,13,6,,,,,0,0,101013006
1,13,6,,,,,0,0,101013006
1,4,6,,,,,0,0,101004006
1,26,6,5,2,"1",,8,0,101026006
1,15,6,,,,,0,0,101015006
1,12,6,,,,,0,0,101012006
1,4,6,,,,,0,0,101004006
1,19,6,,,,,0,0,101019006
1,25,6,,,,,0,0,101025006
1,13,6,,,,,0,0,101013006
1,15,6,,,,,0,0,101015006
1,4,6,,,,,0,0,101004006
1,4,6,,,,,0,0,101004006
1,26,6,,,,,0,0,101026006
1,29,6,,,,,0,0,101029006
1,19,6,,,,,0,0,101019006
1,26,6,9,2,"1",,5,0,101026006
1,25,6,,,,,0,0,101025006
1,26,6,,,,,0,0,101026006
1,29,6,,,,,0,0,101029006
1,15,6,,,,,0,0,101015006
1,19,6,,,,,0,0,101019006
1,15,6,,,,,0,0,101015006
1,30,6,,,,,0,0,101030006
1,13,6,,,,,0,0,101013006
1,4,6,,,,,0,0,101004006
1,30,6,,,,,0,0,101030006
1,20,6,6,1,"1",,5,0,101020006
1,29,6,,,,,0,0,101029006
1,29,6,,,,,0,0,101029006
1,15,6,,,,,0,0,101015006
1,25,6,,,,,0,0,101025006
1,4,6,14,2,"1",,4,0,101004006
1,15,6,,,,,0,0,101015006
1,15,6,,,,,0,0,101015006
1,29,6,,,,,0,0,101029006
1,20,6,,,,,0,0,101020006
1,19,6,14,1,"1",,3,0,101019006
1,4,6,,,,,0,0,101004006
1,4,6,,,,,0,0,101004006
1,30,6,,,,,0,0,101030006
1,29,6,,,,,0,0,101029006
1,4,6,22,6,"1",,42,0,101004006
1,29,6,16,1,"1",,300,0,101029006
1,15,6,4,2,"1","2",3,0,101015006
1,4,6,,,,,0,0,101004006
1,15,6,,,,,0,0,101015006
1,13,6,7,2,"1",,10,0,101013006
1,13,6,16,1,"1",,40,0,101013006
1,29,6,5,2,"1",,10,0,101029006
1,13,6,,,,,0,0,101013006
1,29,6,,,,,0,0,101029006
1,26,6,,,,,0,0,101026006
1,12,7,,,,,0,0,101012007
1,21,7,,,,,0,0,101021007
1,7,7,14,1,,,2,0,101007007
1,12,7,,,,,0,0,101012007
1,21,7,,,,,0,0,101021007
1,7,7,,,,,0,0,101007007
1,21,7,,,,,0,0,101021007
1,12,7,,,,,0,0,101012007
1,7,7,,,,,0,0,101007007
1,21,7,7,1,"1",,3,0,101021007
1,12,7,,,,,0,0,101012007
1,12,7,,,,,0,0,101012007
1,12,7,,,,,0,0,101012007
1,7,7,,,,,0,0,101007007
1,12,7,,,,,0,0,101012007
1,7,7,4,1,,,2,0,101007007
1,12,7,,,,,0,0,101012007
1,21,7,,,,,0,0,101021007
1,21,7,,,,,0,0,101021007
1,21,7,14,2,,,13,0,101021007
1,12,7,,,,,0,0,101012007
1,21,7,,,,,0,0,101021007
1,7,7,,,,,0,0,101007007
1,7,7,,,,,0,0,101007007
1,7,7,,,,,0,0,101007007
1,7,7,,,,,0,0,101007007
1,7,7,,,,,0,0,101007007
1,7,7,,,,,0,0,101007007
1,21,7,,,,,0,0,101021007
1,12,7,4,1,"1","2",5,0,101012007
1,12,7,,,,,0,0,101012007
1,21,7,,,,,0,0,101021007
1,21,7,,,,,0,0,101021007
1,12,7,,,,,0,0,101012007
1,21,7,,,,,0,0,101021007
1,7,7,,,,,0,0,101007007
1,21,7,,,,,0,0,101021007
1,12,7,14,1,"1","2",5,0,101012007
1,7,7,,,,,0,0,101007007
1,7,7,,,,,0,0,101007007
1,12,7,,,,,0,0,101012007
1,21,7,,,,,0,0,101021007
1,29,8,,,,,0,0,101029008
1,26,8,,,,,0,0,101026008
1,19,8,,,,,0,0,101019008
1,13,8,,,,,0,0,101013008
1,29,8,,,,,0,0,101029008
1,28,8,,,,,0,0,101028008
1,26,8,,,,,0,0,101026008
1,19,8,,,,,0,0,101019008
1,29,8,,,,,0,0,101029008
1,13,8,,,,,0,0,101013008
1,29,8,,,,,0,0,101029008
1,28,8,9,3,,,8,0,101028008
