"id1","id2","id3","id4","s10iii_0","s10iii_16","s10iii_17","s10iii_18","s10iii_19","s10iii_20","s10iii_21","s10iii_21i","hhno"
1,12,29,23,2,1,1,1,1,"3,7",2,,101029023
1,12,29,29,1,1,2,1,2,"7",2,,101029029
1,12,29,33,1,1,1,1,2,"2,3",2,,101029033
1,12,29,37,1,1,2,1,2,"3,7",2,,101029037
1,12,29,39,1,1,2,1,2,"7",2,,101029039
1,12,29,39,2,1,2,1,2,"6",2,,101029039
1,12,29,40,1,1,2,1,2,"7",2,,101029040
1,12,30,4,3,1,4,1,4,"1,2,3,7,9",2,,101030004
1,12,30,4,1,1,4,1,4,"1,2,3,7,8",2,,101030004
1,12,30,4,2,1,4,1,4,"1,2,3,7,8",2,,101030004
1,12,30,6,1,1,4,1,4,"1,2,3,4,7,8,10",2,,101030006
1,12,30,6,2,1,4,1,4,"1,2,3,4,7,8,10",2,,101030006
1,12,30,10,2,1,4,1,4,"1,2,3,7,8",2,,101030010
1,12,30,10,1,1,4,1,4,"1,2,3,7,8",2,,101030010
1,12,30,16,1,1,4,1,4,"1,2,3,7,8,10",2,,101030016
1,12,30,16,2,1,4,1,4,"1,2,3,7,8",2,,101030016
1,12,30,21,1,1,4,1,4,"1,3,4,7,8",2,,101030021
1,12,30,22,1,1,4,1,3,"1,2,3,4,7,8",2,,101030022
1,12,30,22,2,1,4,1,4,"1,2,3,4,7,8,10",2,,101030022
1,12,30,38,1,1,4,1,3,"1,2,4",2,,101030038
1,12,30,56,1,1,2,1,2,"1,2,3,7,10",2,,101030056
1,12,30,63,,1,3,1,3,"1,2,3,7",2,,101030063
1,13,9,68,1,1,4,1,4,"1,2,3",2,,101009068
1,13,9,94,1,1,4,2,,"1,22",2,,101009094
1,13,9,136,1,1,3,2,,"1,2",2,,101009136
1,13,9,180,2,1,4,1,4,"1,6",2,,101009180
1,13,9,180,1,1,4,1,5,"22",2,,101009180
1,13,9,191,1,1,4,1,4,"1,3",2,,101009191
1,13,9,210,1,1,4,2,,"22",2,,101009210
1,13,9,235,2,1,3,1,5,"1,8",2,,101009235
1,13,9,235,1,1,3,1,5,"1,8",2,,101009235
1,13,9,258,1,1,3,1,5,"22",2,,101009258
1,13,9,258,2,1,3,1,5,"22",2,,101009258
1,13,10,40,5,2,,2,,"3",2,,101010040
1,13,10,40,2,2,,2,,"3",2,,101010040
1,13,10,40,1,1,5,1,5,"3",2,,101010040
1,13,10,64,1,1,1,2,,"3",2,,101010064
1,13,10,88,1,2,,2,,"3",2,,101010088
1,13,10,88,4,2,,2,,"21",2,,101010088
1,13,10,88,2,2,,1,5,"3,7",1,"WOMEN FELLOWSHIP",101010088
1,13,10,89,,2,,2,,"3",2,,101010089
1,13,10,95,1,1,3,2,,"3",2,,101010095
1,13,10,95,2,2,,2,,"3",2,,101010095
1,13,10,113,1,1,4,1,4,"1,3,7",1,"KNIGHTS & LADIES OF",101010113
1,13,10,150,2,2,,2,,"3",2,,101010150
1,13,10,150,1,1,1,2,,"3",2,,101010150
1,13,10,163,,1,4,1,4,"3",2,,101010163
