"id1","id2","id3","id4","s4avi2_plotno","s4avi_203i","s4avi_a203","s4avi_204","s4avi_205i","s4avi_205ii","s4avi_206i","s4avi_206ii","s4avi_207","s4avi_208i","s4avi_208ii","s4avi_209i","s4avi_209ii","s4avi_210i","s4avi_210ii","s4avi_210iii","s4avi_210iv","s4avi_211i","s4avi_211","s4avi_212","s4avi_213i","s4avi_213ii","s4avi_214i","s4avi_214ii","s4avi_215","s4avi_216i","s4avi_216ii","s4avi_217i","s4avi_217ii","s4avi_218i","s4avi_218ii","s4avi_218iii","s4avi_218iv","s4avi_219i","s4avi_219","s4avi_220","s4avi_221i","s4avi_221ii","s4avi_222i","s4avi_222ii","s4avi_223","s4avi_224i","s4avi_224ii","s4avi_225i","s4avi_225ii","s4avi_226i","s4avi_226ii","s4avi_226iii","s4avi_226iv","s4avi_227i","s4avi_227","s4avi_228","s4avi_229i","s4avi_229ii","s4avi_230i","s4avi_230ii","s4avi_231","s4avi_232i","s4avi_232ii","s4avi_233i","s4avi_233ii","s4avi_234i","s4avi_234ii","s4avi_234iii","s4avi_234iv","s4avi_235i","s4avi_235","s4avi_236","s4avi_237i","s4avi_237ii","s4avi_238i","s4avi_238ii","s4avi_239","s4avi_240i","s4avi_240ii","s4avi_241i","s4avi_241ii","s4avi_242i","s4avi_242ii","s4avi_242iii","s4avi_242iv","hhno"
1,8,14,15,4,1,2,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,19,2,,,,,,,,,,,,,,,101014015
1,8,14,15,2,1,2,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,19,2,,,,,,,,,,,,,,,101014015
1,8,14,15,3,1,2,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,15,2,,,,,,,,,,,,,,,10,2,,,,,,,,,,,,,,,19,2,,,,,,,,,,,,,,,101014015
1,8,14,22,1,66,1,3,5,15,32,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014022
1,8,14,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014036
1,8,14,36,1,18,1,4,3,,45,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014036
1,8,14,46,3,66,1,3,1,,6,,3,,,,,,,,,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014046
1,8,14,46,5,66,1,3,0.5,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014046
1,8,14,46,4,66,1,3,0.5,,3,,3,,,,,,,,,17,1,4,0.5,,2,50,3,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014046
1,8,14,46,1,66,1,3,1,,6,,3,,,,,,,,,17,1,4,1,,5,,3,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014046
1,8,14,46,2,66,1,3,1,,6,,3,,,,,,,,,17,1,4,1,,5,,3,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014046
1,8,14,57,1,17,1,3,3,15,18,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014057
1,8,14,57,2,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014057
1,8,14,69,1,15,1,2,3,19,180,,3,,,,,19,27,12,,1,1,3,3,15,90,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014069
1,8,14,69,2,15,2,,,,,,,,,,,,,,,1,1,3,4,15,120,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101014069
1,8,15,6,4,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015006
1,8,15,6,1,18,1,4,4,15,,,1,4,15,,,6,,,,1,1,5,2,14,,,1,2,14,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015006
1,8,15,6,3,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101015006
