"Date","GDP","Tax","Govt"
"Sep-2015",-7.19411296424235,-9.04228822097383,-9.90573444216841
"Dec-2015",-7.19482845152033,-9.03691926900293,-9.90198944076345
"Mar-2016",-7.19237226816553,-9.04617632628904,-9.90485310792126
"Jun-2016",-7.19154031444954,-9.05116260333737,-9.91367514172606
"Sep-2016",-7.18713535177712,-9.04685003166269,-9.90974644524182
"Dec-2016",-7.18427019623875,-9.04252091280821,-9.91146057267668
"Mar-2017",-7.17828557559817,-9.04068196745551,-9.91493575949938
"Jun-2017",-7.17476706077931,-9.03287133821361,-9.91099548802294
"Sep-2017",-7.16920720525494,-9.02767485921826,-9.91469426927042
"Dec-2017",-7.16028277423212,-9.0204520810733,-9.90268362253935
"Mar-2018",-7.15606260746688,-9.03630223562509,-9.89334257194788
"Jun-2018",-7.15279062900672,-9.03701605473824,-9.88844754273688
"Sep-2018",-7.14893990913115,-9.03041431317643,-9.8771548449409
"Dec-2018",-7.14999015953488,-9.02647632041354,-9.87185081338017
"Mar-2019",-7.14255323351166,-9.00502038746002,-9.85362054332674
"Jun-2019",-7.13607184813564,-9.0097240474915,-9.85719437677133
"Sep-2019",-7.12662411864677,-9.00669348029944,-9.84922443300423
"Dec-2019",-7.12207930275082,-8.99513835585363,-9.84550710663606
"Mar-2020",-7.13461785488774,-8.9833021247502,-9.83524893040792
"Jun-2020",-7.21863129675741,-9.0601133751402,-9.76151876550901
"Sep-2020",-7.14518871901365,-9.01405533451402,-9.79881351700769
"Dec-2020",-7.13640036304966,-8.97571869869004,-9.79969229734609
"Mar-2021",-7.1220968561633,-8.94277402461375,-9.76421313026493
"Jun-2021",-7.10763915333591,-8.91800977717288,-9.79066792438601
"Sep-2021",-7.10067853649036,-8.9022172952682,-9.81489266678839
"Dec-2021",-7.08436838022746,-8.88806465379699,-9.81377344796052
"Mar-2022",-7.09189017254316,-8.81916813084468,-9.84529115776806
"Jun-2022",-7.09258105128574,-8.83601879930062,-9.8594587180758
"Sep-2022",-7.087744466831,-8.83551036243163,-9.86069866388754
"Dec-2022",-7.08143257420638,-8.85242856602984,-9.84016930634268
"Mar-2023",-7.07988528346255,-8.93914151119028,-9.83274673939181
"Jun-2023",-7.07573552768904,-8.94174475576838,-9.83332105830253
"Sep-2023",-7.06729720550268,-8.94299358132227,-9.82122862387383
"Dec-2023",-7.06169488594416,-8.94036228934716,-9.81877735565235
"Mar-2024",-7.05725672888187,-8.92218108527461,-9.8180131718142
"Jun-2024",-7.05190797374376,-8.91955395659374,-9.80881899048227
