date,name,value
2015-02-12,BHP,26.766529083251953
2015-02-12,WES,31.79042625427246
2015-02-15,MQG,68.4800033569336
2015-02-15,BHP,27.091022491455078
2015-02-15,WES,31.847360610961914
2015-02-16,MQG,70.9000015258789
2015-02-16,BHP,27.08270263671875
2015-02-16,WES,32.20319747924805
2015-02-17,MQG,71.69000244140625
2015-02-17,BHP,27.44047737121582
2015-02-17,WES,32.658668518066406
2015-02-18,MQG,71.55000305175781
2015-02-18,BHP,27.041101455688477
2015-02-18,WES,32.153377532958984
2015-02-19,MQG,71.19999694824219
2015-02-19,BHP,26.87469482421875
2015-02-19,WES,33.014503479003906
2015-02-22,MQG,71.45999908447266
2015-02-22,BHP,26.72492790222168
2015-02-22,WES,33.24224090576172
2015-02-23,MQG,71.470001220703125
