"id1","id2","id3","id4","itrans_no","s3biv_39ii","s3biv_40","s3biv_41","s3biv_42","s3biv_43ii","s3biv_44","s3biv_45","s3biv_45_1","s3biv_45_2","s3biv_45_3","s3biv_45_4","s3biv_45_5","s3biv_46i","s3biv_46ii","s3biv_47i","s3biv_47ii","s3biv_48i","s3biv_48ii","s3biv_49","hhno"
2,23,58,2,1,1,1,88,7,,2,"1",1,,,,,180,,,,,,4,102058002
2,23,56,40,1,1,1,88,13,,5,"1",1,,,,,10,,,,,,3,102056040
2,27,46,29,1,1,1,10,12,,5,"1",1,,,,,500,,,,,,3,102046029
2,2,32,14,1,1,1,4,7,,4,"10",10,,,,,50,,0,,380,,4,102032014
2,29,43,6,4,1,1,2,12,,5,"1",1,,,,,30,,0,,0,,3,102043006
2,9,55,124,1,1,1,7,7,,5,"1",1,,,,,30,,,,10,,3,102055124
2,2,33,71,1,1,2,,4,,2,"1,5",1,5,,,,600,,0,,0,,3,102033071
2,2,37,13,1,1,1,2,1,10,1,"1",1,,,,,20,,100,,,,3,102037013
2,20,48,15,1,1,1,1,4,,5,"1,2,5",1,2,5,,,100,0,,,150,0,3,102048015
2,31,38,8,1,1,1,4,4,-8,2,"1",1,,,,,50,,,,,,4,102038008
2,2,37,13,2,1,1,10,12,,1,"1",1,,,,,20,,100,,,,3,102037013
2,2,34,34,2,1,1,88,2,,5,"1,3,6",1,3,6,,,50,,50,,15,,3,102034034
2,31,38,18,3,1,1,3,12,-8,5,"9",9,,,,,12,,,,,,3,102038018
2,2,33,87,2,1,1,8,3,,5,"1,6",1,6,,,,350,,75,,0,,3,102033087
2,20,48,51,1,1,1,88,4,,5,"1,5",1,5,,,,20,0,8,0,6,0,3,102048051
2,22,53,76,1,1,1,1,1,,1,"1,2,6",1,2,6,,,400,,10,,12,,3,102053076
2,22,53,88,1,2,1,2,7,,5,"1,4",1,4,,,,100,,200,,30,,4,102053088
2,29,43,57,2,1,1,3,1,-8,5,"1",1,,,,,0,,500,,10,,3,102043057
2,31,40,44,1,1,1,88,12,-8,5,"1",1,,,,,70,,,,,,3,102040044
2,27,46,99,1,1,2,,1,,5,"1",1,,,,,,,5,,,,3,102046099
2,19,49,29,1,1,1,4,12,,2,"1",1,,,,,600,,280,,63,,3,102049029
2,2,33,4,1,1,2,,3,-8,5,"1",1,,,,,300,,60,,,,3,102033004
2,6,45,39,1,1,2,,15,,3,"1,2,4",1,2,4,,,100,,,,,,4,102045039
2,31,40,20,2,2,1,4,12,-8,5,"1",1,,,,,10,,50,,,,3,102040020
2,8,52,56,1,1,1,1,4,,1,"1,5,6",1,5,6,,,960,0,0,,0,,3,102052056
2,20,48,54,1,1,2,,4,,3,"1",1,,,,,,,80,,20,,4,102048054
