"id1","id2","id3","id4","entno","s5a_31ii","s5a_32ii","s5a_4ii","s5a_5ii","s5a_6","s5a_7i","s5a_7ii","s5a_b","s5a_9i","s5a_9ii","s5a_10i","s5a_10ii","s5a_11","s5a_11i","s5a_11ii","s5a_11iii","s5a_11iv","s5a_11v","s5a_11vi","s5a_11vii","s5a_11viii","s5a_11ix","s5a_11x","s5a_11xi","s5a_11xii","s5a_12","s5a_13","s5a_14ii","s5a_15","s5a_16","s5a_17","s5a_18","s5a_19","s5a_20","s5a_20i","s5a_20ii","s5a_20iii","s5a_20iv","s5a_20v","s5a_20vi","s5a_20vii","s5a_20viii","s5a_20ix","s5a_20x","s5a_20xi","s5a_20xii","s5a_20ia","s5a_20iia","s5a_20iiia","s5a_20iva","s5a_20va","s5a_20via","s5a_20viia","s5a_20viiia","s5a_20ixa","s5a_20xa","s5a_21i","s5a_21ii","s5a_22i","s5a_22ii","s5a_23","s5a_23i","s5a_23ii","s5a_23iii","s5a_23iv","s5a_23v","s5a_23vi","s5a_23vii","s5a_23viii","s5a_23ix","s5a_23x","s5a_23xi","s5a_23xii","s5a_24i","s5a_24ii","s5a_25i","s5a_25ii","s5a_26i","s5a_26ii","s5a_27i","s5a_27ii","s5a_28i","s5a_28ii","s5a_29i","s5a_29ii","hhno"
6,10,202,21,1,1,,,2,"SALE OF SHOES (SECOND-HAND)",,5240,,,,7,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"AAALLLLLLLHH","A","A","A","L","L","L","L","L","L","L","H","H",,0,,0,,0,,,,,,,106202021
4,7,117,4,1,1,,,1,"SELLING LIQUOR",,5252,,,,,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,1,"8",2,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,100,0,0,200,,,,"AAALLHHAAAAH","A","A","A","L","L","H","H","A","A","A","A","H",75,0,45,0,0,30,45,,45,,45,,104117004
3,43,98,57,1,2,,,2,"RETAIL SALE OF SECOND-HAND GOODS","RETAIL TRADE",5240,,,,4,6,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,10,1,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"LLLLLLLLLAHH","L","L","L","L","L","L","L","L","L","A","H","H",100,0,80,0,30,0,50,,30,,20,,103098057
3,44,89,16,1,1,,,1,"TROTRO DRIVING","TRANSPORT",6021,,,,1,,"4,5,11,12",,,,1,1,,,,,1,1,1,1,,,6,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"AA    LAA",,,,"A","A",,,,,"L","A","A",0,0,300,0,240,0,,,200,,150,,103089016
6,111,225,37,2,2,,,,"DRIVER","SERVICES",6021,,,,1,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,4,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HHAAALLAAHHH","H","H","A","A","A","L","L","A","A","H","H","H",750,0,650,0,400,0,600,,450,,300,,106225037
8,10,303,23,1,2,,,2,"HAIR DRESSING",,9302,,,,2,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,3,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HAHLLHAAHHAH","H","A","H","L","L","H","A","A","H","H","A","H",45,0,30,0,25,0,25,,15,,10,,108303023
3,1,76,90,1,1,,,1,"RETAILING","RETAIL TRADE",5220,,,,2,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"LLAAAALLLAAA","L","L","A","A","A","A","L","L","L","A","A","A",0,0,10,0,5,0,,,15,,7,,103076090
5,14,168,46,1,2,,,2,"HAIRDRESSING","PERSONAL CARE",9302,"SEAMSTRESS",,1729,16,,"1-9,11,12",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"AAHHALLLLLAH","A","A","H","H","A","L","L","L","L","L","A","H",50,0,30,0,20,0,40,,25,,15,,105168046
7,115,268,9,2,2,,,,"RETAILING OF YAM","RETAIL OF YAM",5211,,,,10,,"1-12",1,1,1,1,1,1,1,1,1,,1,1,2,,,5,2,2,1,1,"1",1,2,2,2,2,2,2,2,2,2,0,0,100,0,0,0,0,0,0,0,0,0,200,,20,,"AAAAHHHAA HH","A","A","A","A","H","H","H","A","A",,"H","H",100,0,30,0,10,0,50,,30,,20,,107268009
6,10,202,10,1,1,,,1,"SELLS CEMENT PAPERS",,5252,,,,10,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,11,2,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HHHHAAAALLLL","H","H","H","H","A","A","A","A","L","L","L","L",25,0,18,0,10,0,20,,10,,5,,106202010
5,7,155,36,1,2,,,2,"OPERATES A RETAIL PROVISION SHOP",,5252,,,,2,,"1-12",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,1,1,3,1,"3",2,2,1,2,2,2,2,2,2,2,0,0,0,0,100,0,0,0,0,0,0,0,300,,18,,"AHHHALLAAAAH","A","H","H","H","A","L","L","A","A","A","A","H",200,0,150,0,100,0,170,,130,,85,,105155036
2,2,33,18,1,2,,,2,"RETAIL SALE OF OIL","TRADE",5252,,,,3,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,"1",1,2,2,2,2,2,2,2,2,2,,,0,0,0,0,0,0,0,0,0,0,,,,,"AHHHHAAAHAAA","A","H","H","H","H","A","A","A","H","A","A","A",2800,0,1400,0,0,0,2632,,1316,,,,102033018
4,7,117,13,1,1,,,1,"SELLING OKRO",,5252,,,,16,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,1,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HAAAHHALLLLL","H","A","A","A","H","H","A","L","L","L","L","L",1800,0,1200,0,750,0,1500,,100,,1000,,104117013
4,59,128,21,1,2,,,2,"SELLING OF PITO","RETAIL",5220,,,,15,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,1,1,3,2,,2,2,2,2,2,2,2,2,2,2,0,100,0,0,0,0,0,0,0,0,0,0,,,,,"LLAAAHHALAHH","L","L","A","A","A","H","H","A","L","A","H","H",400,0,300,0,180,0,250,,200,,100,,104128021
1,13,10,150,1,1,,,1,"SALE OF BANANA AND GROUNDNUT","RETAIL-TRADE",5220,,,,,11,"2-12",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"AAAAALLAHHLL","A","A","A","A","A","L","L","A","H","H","L","L",360,0,180,0,88,0,240,,144,,80,,101010150
7,130,249,11,1,1,,,1,"SALE OF ALCOHOLIC AND NON-ALCOHOLIC BEVERAGES","RETAIL TRADE",5252,,,,5,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,,2,2,1,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HHAALLLAAAHH","H","H","A","A","L","L","L","A","A","A","H","H",1200,0,800,0,400,0,900,,600,,300,,107249011
4,58,131,53,2,2,,,2,"DRESSMAKING",,1810,,,,1,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,1,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"HLLAALLLLAHH","H","L","L","A","A","L","L","L","L","A","H","H",400,0,220,0,80,0,100,0,70,0,20,0,104131053
5,8,157,10,1,1,,,1,"SALE OF ALCOHOLIC BEVERAGES","RESTAURANTS, BARS AND CANTEENS",5520,"SALE OF SACHET WATER",,,7,8,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,11,1,1,"5",2,2,2,2,1,2,2,2,2,2,0,0,0,0,0,0,100,0,0,0,0,0,200,,,,"HAAAALLAAAAH","H","A","A","A","A","L","L","A","A","A","A","H",1500,0,900,0,450,0,1100,,820,,410,,105157010
7,8,258,30,1,1,,,1,"SELLING OF MEAT","RETAILING",5220,,,,10,,"ALL",1,1,1,1,1,1,1,1,1,,1,1,1,,,3,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"LAALAHHHH LL","L","A","A","L","A","H","H","H","H",,"L","L",850,0,800,0,770,0,700,,700,,700,,107258030
5,8,158,26,1,1,,,1,"DRESS MAKING","MANUFACTURING",1810,,,,8,,"1-11",1,1,1,1,1,1,1,1,1,1,1,,1,,,5,1,11,2,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"LLAHLLLLLAA","L","L","A","H","L","L","L","L","L","A","A",,60,0,40,0,30,0,25,,15,,10,,105158026
8,10,305,51,1,2,,,,"SALE OF PROVISIONS","FOOD",5121,"SEWING OF CLOTHING","CRAFT RELATED",9301,6,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,11,2,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"LLAAAAAAAHHH","L","L","A","A","A","A","A","A","A","H","H","H",350,0,215,0,120,0,203,,86,50,51,50,108305051
3,1,84,62,1,1,,,,"MANUFACTURING OF WOODEN FURNITURE","MANUFACTURING OF FURNITURE",3611,,,,15,6,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,,2,11,2,1,"2",2,1,2,2,2,2,2,2,2,2,0,0,0,100,0,0,0,0,0,0,0,0,200,,150,,"LLLLLLLLALHH","L","L","L","L","L","L","L","L","A","L","H","H",500,0,30,0,20,0,200,,100,,75,,103084062
8,10,304,27,1,2,,,1,"SALES OF VEGETABLES",,5220,,,,7,,"ALL",1,1,1,1,1,1,1,1,1,1,1,1,1,,,5,2,1,3,3,,2,2,2,2,2,2,2,2,2,2,100,0,0,0,0,0,0,0,0,0,0,0,,,,,"LAHHALLLAAAA","L","A","H","H","A","L","L","L","A","A","A","A",245,0,150,0,100,0,210,,120,,80,,108304027
