"id1","id2","id3","id4","entno","s5bii_10aii","s5bii_10bii","s5bii_10cii","s5bii_10dii","s5bii_11a","s5bii_11b","s5bii_11c","s5bii_11d","s5bii_12a","s5bii_12b","s5bii_12c","s5bii_12d","s5bii_13a","s5bii_13b","s5bii_13c","s5bii_13d","s5bii_14a","s5bii_14b","s5bii_14c","s5bii_14d","s5bii_15a","s5bii_15b","s5bii_15c","s5bii_15d","hhno"
1,2,28,31,1,1,,,,1,,,,14,,,,11,,,,30,,,,11,,,,101028031
1,2,28,32,1,1,,,,1,,,,12,,,,7,,,,24,,,,7,,,,101028032
1,2,28,43,1,1,,,,1,,,,10,,,,10,,,,26,,,,10,,,,101028043
1,2,28,44,1,1,,,,1,,,,5,,,,9,,,,14,,,,9,,,,101028044
1,12,29,2,1,1,2,,,1,2,,,14,14,,,16,3,,,30,30,,,16,3,,,101029002
1,12,29,2,2,2,,,,1,9,9,9,13,13,13,13,9,9,9,9,26,26,26,26,9,9,9,9,101029002
1,12,29,8,1,1,,,,1,,,,,,,,,,,,26,,,,10,,,,101029008
1,12,29,20,1,1,,,,1,,,,3,,,,8,,,,20,,,,8,,,,101029020
1,12,29,29,1,,,,,1,3,,,14,14,,,10,10,,,30,26,,,10,5,,,101029029
1,12,29,39,1,1,,3,,1,7,3,,12,12,12,,10,8,4,,26,26,22,,10,8,4,,101029039
1,12,29,40,1,1,,,,1,,,,12,,,,3,,,,26,,,,3,,,,101029040
1,12,30,30,1,1,,,,1,,,,4,,,,7,,,,15,,,,7,,,,101030030
1,12,30,63,1,,,,,1,10,,,12,12,,,16,16,,,24,24,,,5,5,,,101030063
1,1,31,1,1,,,,,,,,,,,,,,,,,,,,,,,,,101031001
1,1,31,5,1,1,,,,1,9,9,,12,12,12,,10,10,10,,26,26,26,,,10,10,10,101031005
1,1,31,15,1,1,,,,1,,,,6,,,,7,,,,12,,,,16,,,,101031015
1,1,31,21,1,,,,,,,,,10,,,,,,,,,,,,,,,,101031021
1,1,31,38,1,,,,,,,,,,,,,,,,,,,,,,,,,101031038
1,1,31,47,1,,,,,,,,,,,,,,,,,,,,,,,,,101031047
1,1,31,70,1,1,,,,10,,,,5,,,,10,,,,,,,,,,,,101031070
1,1,31,73,1,,,,,1,9,9,9,10,10,10,10,9,9,9,9,26,26,26,26,13,13,13,13,101031073
1,1,31,74,1,,,,,,,,,,,,,,,,,,,,,,,,,101031074
1,1,31,84,1,,,,,,,,,,,,,,,,,,,,,,,,,101031084
2,2,32,2,1,1,,,,1,,,,12,,,,11,,,,26,,,,11,,,,102032002
2,2,32,5,1,1,,,,1,,,,14,,,,12,,,,30,,,,12,,,,102032005
