"id1","id2","id3","id4","hhmid","s1gi_1","s1gi_2i","s1gi_2ii","s1gi_3","s1gi_4","s1gi_5","s1gi_6","s1gi_7","s1gi_8i","s1gi_8ii","s1gi_9i","s1gi_9ii","s1gi_10ii","s1gi_10iii","s1gi_11ii","s1gi_11iii","s1gi_12ii","s1gi_12iii","hhno"
3,1,70,15,1,2,1,,1,7,5,35,,,,,,,,,,,3,103070015
3,1,70,28,3,,,,,,,,,,,,,,,,,,,103070028
3,1,70,28,1,1,40,,1,2,11,74,,,,15,,,1,,1,,3,103070028
3,1,70,28,2,2,40,,1,4,11,74,,,,10,,,1,,1,,3,103070028
3,1,70,31,2,,,,,,,,,,,,,,,,,,,103070031
3,1,70,31,1,2,1,,1,7,5,35,,,,,,,1,,1,,3,103070031
3,1,72,2,1,1,27,,1,5,11,43,,,,,,,1,,1,,3,103072002
3,1,72,5,7,,,,,,,,,,,,,,,,,,,103072005
3,1,72,5,4,2,1,,1,7,11,,,,,,,,1,,1,,3,103072005
3,1,72,5,6,2,1,,1,7,11,,,,,,,,1,,1,,3,103072005
3,1,72,5,5,2,1,,1,7,11,,,,,,,,1,,1,,3,103072005
3,1,72,5,1,1,47,,1,7,11,43,,,,,,,1,-8,,-8,,103072005
3,1,72,5,2,2,32,,1,6,11,,,,,,,,1,,1,,3,103072005
3,1,72,5,8,,,,,,,,,,,,,,,,,,,103072005
3,1,72,5,9,2,16,,1,7,11,,,,,,,,1,,1,,3,103072005
3,1,72,5,3,2,1,,1,7,11,,,,,,,,1,,1,,3,103072005
3,1,72,12,3,,,,,,,,,,,,,,,,,,,103072012
3,1,72,12,2,2,4,,1,6,11,48,,,,,,,,,,1,,103072012
3,1,72,12,1,,,,,,,,,,,,,,,,,,,103072012
3,1,72,30,2,2,30,,1,5,9,13,,,,,,,,,,,,103072030
3,1,72,30,4,,,,,,,,,,,,,,,,,,,103072030
3,1,72,30,1,2,15,,1,2,11,77,,,,,,,,,,,,103072030
3,1,72,30,3,,,,,,,,,,,,,,,,,,,103072030
3,1,72,61,2,1,15,,1,6,3,26,,,,,,,,,,,,103072061
3,1,72,61,3,1,10,,1,5,3,26,,,,,,,,,,,,103072061
3,1,72,61,5,,,,,,,,,,,,,,,,,,,103072061
3,1,72,61,1,1,25,,1,2,3,26,,,,,,,,,,,,103072061
3,1,72,61,4,,,,,,,,,,,,,,,,,,,103072061
3,1,73,26,1,1,20,,1,5,5,35,,,,,,,1,,1,,3,103073026
3,1,73,69,1,1,35,,1,5,11,43,,,,,,,1,,1,,3,103073069
3,1,74,2,2,2,10,,1,6,11,63,,6,,,,,1,,1,,3,103074002
3,1,74,2,1,,,,,,,,,,,,,,,,,,,103074002
3,1,74,2,3,,,,,,,,,,,,,,,,,,,103074002
3,1,74,15,4,4,0,4,1,9,11,83,,,,,,,,,1,,3,103074015
3,1,74,15,1,1,3,,1,1,11,51,,198,,198,,,1,,1,,3,103074015
3,1,74,15,2,,,,,,,,,,,,,,,,,,,103074015
3,1,74,15,3,,,,,,,,,,,,,,,,,,,103074015
3,1,74,26,1,2,30,,1,2,11,,,,,,,,,,,,,103074026
3,1,74,26,4,,,,,,,,,,,,,,,,,,,103074026
3,1,74,26,2,2,26,,1,2,11,,,,,,,,,,,,,103074026
3,1,74,26,5,,,,,,,,,,,,,,,,,,,103074026
3,1,74,26,6,,,,,,,,,,,,,,,,,,,103074026
3,1,74,26,3,,,,,,,,,,,,,,,,,,,103074026
3,1,75,3,1,1,15,,1,5,9,13,,,,450,,,,-8,,,,103075003
3,1,75,4,1,1,9,,1,2,1,102,,1,,2,50,-8,,,1,,3,103075004
