"id1","id2","id3","id4","s10ci","s10c_1","s10c_2","s10c_3i","s10c_3ii","s10c_4","s10c_5","s10c_6","s10c_7","s10c_8","s10c_9","s10c_10","hhno"
1,1,3,46,11,1,7,7,,2,2,1,1,1,1,"CR",101003046
1,1,3,46,4,2,,,,,,,,,,"CR",101003046
1,1,3,46,32,2,,,,,,,,,,"CR",101003046
1,1,3,46,20,2,,,,,,,,,,"CR",101003046
1,1,3,46,29,2,,,,,,,,,,"CR",101003046
1,1,3,46,24,2,,,,,,,,,,"CR",101003046
1,1,3,46,37,2,,,,,,,,,,"CR",101003046
1,1,3,46,5,2,,,,,,,,,,"CR",101003046
1,1,3,46,26,1,7,6,,1,2,1,1,1,1,"CR",101003046
1,1,3,50,4,2,,,,,,,,,,"CR",101003050
1,1,3,50,32,2,,,,,,,,,,"CR",101003050
1,1,3,50,30,2,,,,,,,,,,"CR",101003050
1,1,3,50,24,2,,,,,,,,,,"CR",101003050
1,1,3,50,20,2,,,,,,,,,,"CR",101003050
1,1,3,50,12,1,7,8,,2,2,1,1,1,1,"CR",101003050
1,1,3,50,5,2,,,,,,,,,,"CR",101003050
1,1,3,50,9,2,,,,,,,,,,"CR",101003050
1,1,3,50,29,2,,,,,,,,,,"CR",101003050
1,1,3,50,37,2,,,,,,,,,,"CR",101003050
1,1,3,50,13,,,,,,,,,,,"CR",101003050
1,1,3,50,11,1,7,7,,2,2,1,1,1,1,"CR",101003050
1,1,3,50,26,2,,,,,,,,,,"CR",101003050
1,1,3,50,15,1,7,10,,2,2,1,1,1,1,"CR",101003050
1,1,8,4,78,2,,,,,,,,,,"CR",101008004
1,1,8,4,53,2,,,,,,,,,,"CR",101008004
1,1,8,4,35,2,,,,,,,,,,"CR",101008004
1,1,8,4,74,2,,,,,,,,,,"4",101008004
1,1,8,4,17,2,,,,,,,,,,"CR",101008004
1,1,8,4,14,2,,,,,,,,,,"3",101008004
1,1,8,4,44,2,,,,,,,,,,"5",101008004
1,1,8,4,60,2,,,,,,,,,,"CR",101008004
1,1,8,4,29,2,,,,,,,,,,"CR",101008004
1,1,8,4,21,2,,,,,,,,,,"CR",101008004
1,1,8,4,19,2,,,,,,,,,,"2",101008004
1,1,8,4,47,2,,,,,,,,,,"CR",101008004
1,1,8,4,22,2,,,,,,,,,,"CR",101008004
1,1,8,4,67,2,,,,,,,,,,"1",101008004
