"id1","id2","id3","id4","s4av2_plotno","s4v_a120i","s4v_a120ii","s4v_a120iii","s4v_a120iv","s4v_a120v","s4v_a120vi","s4v_a120vii","s4v_a120viii","s4v_a120ix","s4v_a120x","s4v_a120b","s4v_a121i","s4v_a121ii","s4v_a122i","s4v_a122ii","s4v_a123i","s4v_a123ii","s4v_a124i","s4v_a124ii","s4v_a125","s4v_a126i","s4v_a126ii","s4v_a127","s4v_a128","s4v_a129i","s4v_a129ii","s4v_a130i","s4v_a130ii","s4v_a131i","s4v_a131ii","s4v_a132i","s4v_a132ii","s4v_a133","s4v_a134i","s4v_a133ii","s4v_a135","s4v_a136","s4v_a137i","s4v_a137ii","s4v_a138i","s4v_a138ii","s4v_a139i","s4v_a139ii","s4v_a140i","s4v_a140ii","s4v_a141","s4v_a142i","s4v_a142ii","s4v_a143","s4v_a144","s4v_a145i","s4v_a145ii","s4v_a146i","s4v_a146ii","s4v_a147i","s4v_a147ii","s4v_a148i","s4v_a148ii","s4v_a149","s4v_a150i","s4v_a150ii","s4v_a151","s4v_a152","s4v_a153i","s4v_a153ii","s4v_a154i","s4v_a154ii","s4v_a155i","s4v_a155ii","s4v_a156i","s4v_a156ii","s4v_a157","s4v_a158i","s4v_a158ii","s4v_a159","s4v_a160","hhno"
1,2,7,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007025
1,2,7,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007026
1,2,7,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007028
1,2,7,33,1,5,37,,,,,,,,,2,5,6,1,4,8,,,,2,,,1,30,37,7,2,6,1,20,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007033
1,2,7,33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007033
1,2,7,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007033
1,2,7,36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007036
1,2,7,68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007068
1,2,7,82,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007082
1,2,7,82,2,5,,,,,,,,,,1,5,6,1,4,10,,,,2,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007082
1,2,25,2,1,6,,,,,,,,,,1,6,7,10,18,1380,,1380,,2,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025002
1,2,25,2,2,29,40,5,,,,,,,,2,29,7,2,8,10,,9,,2,,,2,,40,6,310,26,150,,150,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025002
1,2,25,3,1,6,29,40,,,,,,,,3,6,7,10,18,1380,,1380,,1,564,,1,15,29,7,5,8,36,,36,,1,186,,2,,40,6,10,4,68,,68,,1,174,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,101025003
1,2,25,6,2,6,5,29,,,,,,,,3,6,7,0.5,18,69,,69,,2,,,1,25,5,6,10,4,60,,60,,1,25,,1,15,29,7,15,8,75,,75,,1,30,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025006
1,2,25,6,1,6,,,,,,,,,,1,6,7,2,18,276,,276,,2,,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025006
1,2,25,12,1,6,22,29,5,40,1,7,,,,5,6,7,25,18,3450,,3450,,2,,,1,20,22,7,13,4,156,,156,,2,,,1,10,29,7,8,8,40,,40,,2,,,2,,5,6,8,4,40,,40,,1,80,,1,15,40,6,15,4,180,,180,,1,40,,1,10,101025012
1,2,25,13,1,6,29,,,,,,,,,2,6,7,3,2,4,50,4,50,2,,,1,30,29,7,3,8,15,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025013
1,2,25,13,2,6,29,5,,,,,,,,3,6,7,3,2,4,50,4,50,2,,,1,40,29,7,4,8,20,,,,2,,,2,,5,6,2,4,4,,,,2,,,1,350,,,,,,,,,,,,,,,,,,,,,,,,,,,101025013
1,2,25,33,2,6,29,40,,,,,,,,3,6,7,3,18,414,,414,,2,,,1,15,29,7,4,8,20,,20,,2,,,2,,40,6,15,26,46,,46,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025033
1,2,25,33,1,6,29,40,,,,,,,,3,6,7,5,18,690,,690,,2,,,1,10,29,7,4,8,20,,20,,2,,,2,,40,6,10,26,40,,40,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025033
1,2,25,37,2,29,5,8,34,,,,,,,3,29,7,7,8,30,,10,,2,,,1,48,5,6,2,6,14,,,,2,,,1,36,8,6,2,18,26,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025037
1,2,25,37,1,6,29,,,,,,,,,2,6,7,7,18,840,,840,,2,,,1,25,29,7,2,8,7,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101025037
