"id1","id2","id3","id4","s2a_i","hhno"
2,3,36,17,11,102036017
2,5,51,1,7,102051001
2,5,51,2,13,102051002
2,5,51,3,8,102051003
2,5,51,6,12,102051006
2,5,51,9,5,102051009
2,5,51,13,6,102051013
2,5,51,14,18,102051014
2,5,51,15,11,102051015
2,5,51,20,18,102051020
2,5,51,23,5,102051023
2,5,51,26,15,102051026
2,5,51,53,6,102051053
2,5,51,58,7,102051058
2,5,51,64,11,102051064
2,5,51,71,7,102051071
2,6,45,2,6,102045002
2,6,45,4,16,102045004
2,6,45,13,12,102045013
2,6,45,18,4,102045018
2,6,45,26,6,102045026
2,6,45,34,9,102045034
2,6,45,39,10,102045039
2,6,45,47,8,102045047
2,6,45,51,7,102045051
2,6,45,56,6,102045056
2,6,45,59,11,102045059
2,6,45,60,18,102045060
2,6,45,87,15,102045087
2,6,45,91,9,102045091
2,6,45,106,12,102045106
2,7,50,1,20,102050001
2,7,50,4,14,102050004
2,7,50,5,9,102050005
2,7,50,6,13,102050006
2,7,50,8,15,102050008
2,7,50,11,18,102050011
2,7,50,12,19,102050012
2,7,50,13,12,102050013
2,7,50,14,6,102050014
2,7,50,16,8,102050016
2,7,50,18,16,102050018
2,7,50,19,12,102050019
2,7,50,23,15,102050023
2,7,50,25,14,102050025
2,7,50,27,16,102050027
2,8,52,6,12,102052006
2,8,52,9,3,102052009
2,8,52,12,11,102052012
2,8,52,18,18,102052018
2,8,52,24,7,102052024
2,8,52,28,6,102052028
2,8,52,31,7,102052031
2,8,52,38,6,102052038
2,8,52,41,15,102052041
2,8,52,43,6,102052043
2,8,52,56,7,102052056
2,8,52,58,6,102052058
2,8,52,71,11,102052071
2,8,52,74,9,102052074
2,8,52,77,8,102052077
2,9,54,2,9,102054002
2,9,54,4,10,102054004
2,9,54,11,13,102054011
2,9,54,19,12,102054019
2,9,54,20,5,102054020
2,9,54,27,13,102054027
2,9,54,32,15,102054032
2,9,54,39,14,102054039
2,9,54,41,10,102054041
2,9,54,50,15,102054050
2,9,54,53,12,102054053
2,9,54,58,12,102054058
2,9,54,60,12,102054060
2,9,54,61,16,102054061
2,9,54,67,16,102054067
2,9,55,7,14,102055007
2,9,55,15,8,102055015
2,9,55,17,7,102055017
2,9,55,34,16,102055034
2,9,55,63,18,102055063
2,9,55,64,5,102055064
2,9,55,74,13,102055074
2,9,55,94,8,102055094
2,9,55,102,5,102055102
2,9,55,109,9,102055109
2,9,55,120,8,102055120
2,9,55,121,11,102055121
2,9,55,124,10,102055124
2,9,55,127,18,102055127
2,9,55,135,17,102055135
2,19,49,5,18,102049005
