"id1","id2","id3","id4","s4av1_plotno","s4v_a78i","s4v_a78ii","s4v_a78iii","s4v_a78iv","s4v_a78v","s4v_a78vi","s4v_a78vii","s4v_a78viii","s4v_a78ix","s4v_a78x","s4v_a79","s4v_a80i","s4v_a80ii","s4v_a81i","s4v_a81ii","s4v_a82i","s4v_a82ii","s4v_a83i","s4v_a83ii","s4v_a84","s4v_a85i","s4v_a85ii","s4v_a86","s4v_a87","s4v_a88i","s4v_a88ii","s4v_a89i","s4v_a89ii","s4v_a90i","s4v_a90ii","s4v_a91i","s4v_a91ii","s4v_a92","s4v_a93i","s4v_a93ii","s4v_a94","s4v_a95","s4v_a96i","s4v_a96ii","s4v_a97i","s4v_a97ii","s4v_a98i","s4v_a98ii","s4v_a99i","s4v_a99ii","s4v_a100","s4v_a101i","s4v_a102ii","s4v_a102","s4v_a103","s4v_a104i","s4v_a104ii","s4v_a105i","s4v_a105ii","s4v_a106i","s4v_a106ii","s4v_a107i","s4v_a107ii","s4v_a108","s4v_a109i","s4v_a109ii","s4v_a110","s4v_a111","s4v_a112i","s4v_a112ii","s4v_a113i","s4v_a113ii","s4v_a114i","s4v_a114ii","s4v_a115i","s4v_a115ii","s4v_a116","s4v_a117i","s4v_a117ii","s4v_a118","s4v_a119","hhno"
1,2,5,36,3,19,23,27,,,,,,,,3,19,7,10,18,30,,0,,2,,,1,20,23,7,2,4,18,,0,,2,,,1,50,27,7,1,4,7,,0,0,2,,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,2,5,37,,,,,,,,,2,5,6,4,18,48,,36,,1,12,,1,15,37,7,1,4,8,,0,,2,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005036
1,2,5,36,1,5,27,,,,,,,,,2,5,6,5,18,60,,0,,2,,,2,,27,7,3,2,21,,0,,2,,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005036
1,2,5,41,1,5,27,,,,,,,,,1,5,6,7,18,120,,120,,1,15,,1,15,27,7,2,6,6,,6,,1,2,,1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005041
1,2,5,52,2,5,19,,,,,,,,,,5,6,6,18,150,,50,,1,30,,1,20,19,7,4,19,26,,0,,2,,,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005052
1,2,5,52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101005052
1,2,6,1,1,5,37,,,,,,,,,1,37,7,5,4,35,,35,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006001
1,2,6,11,1,22,5,,,,,,,,,1,,,,,,,,,,,,,,5,7,6,4,25,,25,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006011
1,2,6,15,1,6,,,,,,,,,,1,6,7,2,19,100,,100,,1,80,,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101006015
