Date,AORD
1993-10-18,2061.399902
1993-10-25,2112.199951
1993-11-01,2079.899902
1993-11-08,2074
1993-11-15,2083.199951
1993-11-22,2043.099976
1993-11-29,2047.400024
1993-12-06,2084.899902
1993-12-13,2081.600098
1993-12-20,2089.199951
1993-12-27,2173.600098
1994-01-03,2186
1994-01-10,2206.399902
1994-01-17,2250.300049
1994-01-24,2259.899902
1994-01-31,2331.800049
1994-02-07,2241.399902
1994-02-14,2223.199951
1994-02-21,2148.800049
1994-02-28,2116.800049
1994-03-07,2153.100098
1994-03-14,2163.5
1994-03-21,2152.100098
1994-03-28,2053.100098
1994-04-04,2082
1994-04-11,2080.600098
1994-04-18,2042.5
1994-04-25,2066.100098
1994-05-02,2004.300049
1994-05-09,2070
1994-05-16,2103.899902
1994-05-23,2102.199951
1994-05-30,2078.600098
1994-06-06,2069.399902
1994-06-13,2051.199951
1994-06-20,2017.900024
1994-06-27,1965.800049
1994-07-04,1964.900024
1994-07-11,2058
1994-07-18,2052.5
1994-07-25,2061.5
1994-08-01,2091.899902
1994-08-08,2051.899902
1994-08-15,2061.300049
1994-08-22,2077.199951
1994-08-29,2107
1994-09-05,2070.600098
1994-09-12,2059
1994-09-19,2027.699951
1994-09-26,2028.699951
1994-10-03,1967.5
1994-10-10,2006
1994-10-17,2034.599976
1994-10-24,2021.199951
1994-10-31,1999.800049
1994-11-07,1952
1994-11-14,1922
1994-11-21,1910
1994-11-28,1880.099976
1994-12-05,1850.900024
1994-12-12,1897
1994-12-19,1908.199951
1994-12-26,1932.800049
1995-01-02,1867.699951
1995-01-09,1858.800049
1995-01-16,1878.400024
1995-01-23,1862.599976
1995-01-30,1847.699951
1995-02-06,1846
1995-02-13,1856.199951
1995-02-20,1911.099976
1995-02-27,1902.400024
1995-03-06,1868.900024
1995-03-13,1921.199951
1995-03-20,1897.199951
1995-03-27,1905.599976
1995-04-03,1983.400024
1995-04-10,2020.699951
1995-04-17,2000.900024
1995-04-24,2050.199951
1995-05-01,2065.899902
1995-05-08,2038.800049
1995-05-15,1993
1995-05-22,2023.800049
1995-05-29,2006.699951
1995-06-05,1984.5
1995-06-12,1974.400024
1995-06-19,2026.099976
1995-06-26,2017
1995-07-03,2045.699951
1995-07-10,2113.899902
1995-07-17,2122.399902
1995-07-24,2119.5
1995-07-31,2153.300049
1995-08-07,2127.600098
1995-08-14,2102
1995-08-21,2117.300049
1995-08-28,2133.199951
1995-09-04,2139.399902
1995-09-11,2165.699951
1995-09-18,2139.399902
1995-09-25,2136
1995-10-02,2098.199951
1995-10-09,2099
1995-10-16,2106.800049
1995-10-23,2067.399902
1995-10-30,2091.600098
1995-11-06,2126.199951
1995-11-13,2119.699951
1995-11-20,2150.899902
1995-11-27,2163.300049
1995-12-04,2186.100098
1995-12-11,2220.800049
1995-12-18,2206.800049
1995-12-25,2203
1996-01-01,2260.699951
1996-01-08,2239.399902
1996-01-15,2247.100098
1996-01-22,2253.899902
1996-01-29,2293.199951
1996-02-05,2271.800049
1996-02-12,2297.300049
1996-02-19,2264.199951
1996-02-26,2313
