"id1","id3","id4","id2","s12a_1","s12a_2i","s12a_2ii","s12a_2iii","s12a_3","s12a_4i","s12a_4ii","s12a_4iii","s12a_5","s12a_6","s12a_7i","s12a_7ii","s12a_7iii","s12a_8i","s12a_8ii","s12a_8iii","s12a_9i","s12a_9ii","s12a_10ai","s12a_10aii","s12a_10bi","s12a_10bii","s12a_11","s12a_11ii","s12a_11iii","s12a_12i","s12a_12ii","s12a_13i","s12a_13ii","s12a_14","s12a_15","s12a_15i","s12a_16","s12a_17","s12a_18i","s12a_18ii","s12a_18iii","s12a_19i","s12a_19ii","s12a_20","s12a_21i","s12a_21ii","s12a_22","s12a_23i","s12a_23ii","s12a_23iii","s12a_24","s12a_25","s12a_26i","s12a_26ii","s12a_26iii","s12a_27","s12a_28","s12a_29i","s12a_29ii","s12a_29iii","s12a_30","s12a_31","s12a_32","s12a_33i","s12a_33ii","s12a_33iii","s12a_33iv","s12a_33v","s12a_33vi","s12a_35","s12a_36","hhno"
3,77,61,1,2,,,,,,,,,,,,,0,0,0,8,10,3,2,14,2,30,,,2,2,2,2,2,,,2,2,,,,6,0,2,,,1,6,0,,3,3,,,,,7,,,,6,4,3,2,1,1,2,2,2,1,13.17,103077061
3,98,68,43,2,,,,,,,,,,,,,,,,8,1,100,2,,,25,,,24,1,5,3,2,,,4,1,2,50,3,,,2,,,1,5,0,3,3,1,5,,3,,1,,,,6,4,4,2,1,2,2,2,2,,2.9868,103098068
3,98,76,43,1,20,,3,2,,,,3,,,,,,,,8,2,,,,,,2,,7,2,2,3,2,,,4,1,3,,2,,,2,,,1,10,0,3,4,2,,,,,1,,,,2,4,3,2,1,2,2,1,2,2,11.76,103098076
7,264,9,124,2,,,,,,,,,,,,,,,,7,7,30,2,30,2,2,,,7,2,5,3,2,,,2,2,,,,1,,2,,,1,0,0,,2,2,,,,,2,,,,6,4,3,2,2,2,2,2,2,1,27.28,107264009
4,130,2,58,1,48,,6,2,,,,2,,,,,,,,9,12,45,2,50,2,20,,,7,2,6,3,2,,,2,2,,,,,80,2,,,2,0,0,,2,3,,,,,7,,,,1,4,3,2,1,2,2,2,2,1,22.32,104130002
6,196,23,92,2,,,,,,,,,,,,,,,,9,9,100,2,100,2,10,,,24,1,10,3,2,,,2,2,,,,1,0,2,,,1,5,0,3,2,2,,,,,3,,,,6,4,3,2,1,2,2,2,2,2,34.72,106196023
3,92,108,37,1,7,,,2,,,,,,,,,,,,2,2,100,2,100,2,5,,,1,1,3,3,2,,,4,2,,,,2,,2,,,1,8,0,3,3,1,,50,2,,5,,,,2,4,3,2,1,2,2,2,2,2,9.28,103092108
7,256,5,119,2,,,,,,,,,,,,,,,6,9,9,50,2,50,2,10,10,,7,1,2,2,2,,,2,2,,,,,50,2,,,1,3,0,,3,2,,,,1,5,,,1,3,4,3,2,2,2,2,2,2,1,1.598,107256005
2,42,3,29,2,,,,,,,,,,,,,,,,8,3,10,2,40,2,25,,,2,2,2,3,2,,,4,2,,,,7,,2,,,1,8,0,3,1,3,,,,,5,,10,1,6,4,3,2,1,2,2,2,2,2,19.61,102042003
4,103,125,3,2,,,,,,,,,,,,,0,,,2,2,0,0,0,0,,2,,1,1,6,3,2,,,4,1,4,0,3,0,,2,,,1,3,0,3,4,2,,,,2,1,,,,6,4,3,2,1,2,2,2,2,2,16.6,104103125
3,100,2,38,2,,,,,,,,,,,,,,,,2,2,,,,,,2,,24,1,10,2,2,,,4,1,7,,3,,,2,,,1,3,50,3,3,5,,,,1,2,,,,6,4,3,2,1,2,2,2,2,1,182.4336,103100002
6,221,40,103,1,5,,3,2,,,,3,,,,,,,,10,10,120,2,120,2,10,,,1,1,4,3,2,"10",,2,2,,,,2,80,2,,,1,9,0,3,3,2,,,,6,5,,20,1,6,4,3,1,1,2,2,2,1,1,17.86,106221040
3,73,24,1,2,,,,,,,,,,,,,,,,8,5,2,2,4,2,5,,,1,1,1,2,2,,,6,2,,,,1,,2,,,1,3,0,3,1,1,,,,,3,,20,2,6,4,3,1,1,1,2,2,2,2,17.98,103073024
3,100,15,38,2,,,,,,,,,,,,,,,,8,2,,,,,,2,,7,2,2,3,2,,,4,1,5,,3,,,2,,,1,10,0,3,3,1,,,,,1,,,,6,4,5,2,1,2,2,2,2,1,31.73,103100015
3,74,26,1,1,15,,3,2,,,,3,,,,,0,,0,5,5,300,2,300,2,30,,,5,2,5,3,2,,,4,2,,,,2,,2,,,1,15,0,3,3,3,,,,7,5,,10,1,6,4,3,2,1,2,1,2,2,2,24.208,103074026
