"id1","id2","id3","id4","s9c_ii","s9c_c1","s9c_c2","s9c_c3","s9c_c4","s9c_c5","s9c_c6","s9c_c7","s9c_c8","s9c_c9","s9c_c10","s9c_c11","s9c_c12","hhno"
1,8,13,103,3,"B","A","B","B","D","E","E","B","B","B","F","D",101013103
1,8,13,103,4,"C","B","B","E","C","F","C","E","F","C","A","E",101013103
1,8,14,15,5,"E","A","E","B","C","C","E","B","B","C","F","D",101014015
1,8,14,15,6,"E","D","B","B","D","D","B","B","B","B","B","B",101014015
1,8,14,22,3,"E","D","E","B","B","D","E","B","E","B","E","B",101014022
1,8,14,22,4,"E","D","E","E","B","C","C","F","C","F","F","E",101014022
1,8,14,46,7,"B","D","E","E","F","A","E","B","B","B","F","F",101014046
1,8,14,46,6,"E","F","A","D","C","D","E","B","C","B","C","A",101014046
1,8,14,57,4,"E","A","B","E","B","E","E","B","C","F","C","D",101014057
1,8,14,57,5,"E","D","B","D","C","D","E","F","E","D","C","B",101014057
1,8,14,57,6,"B","D","B","E","D","E","E","D","A","B","F","E",101014057
1,8,14,57,7,"B","F","B","F","B","F","F","F","C","D","F","C",101014057
1,8,14,65,3,"D","A","E","B","F","A","E","B","C","B","C","E",101014065
1,8,14,82,5,"E","F","B","E","F","A","E","B","C","B","C","D",101014082
1,8,15,6,3,"E","A","B","C","C","A","E","B","B","A","C","D",101015006
1,8,15,34,2,"E","A","B","D","F","B","E","B","C","B","C","F",101015034
1,8,15,55,3,"E","D","E","D","F","A","E","D","C","F","D","D",101015055
1,8,15,55,2,"F","A","E","E","D","C","B","B","B","F","F","D",101015055
1,8,15,65,9,"E","D","D","E","D","A","E","B","B","B","F","E",101015065
1,8,15,65,4,"E","A","E","B","D","D","E","B","C","B","F","B",101015065
1,8,15,65,5,"E","D","E","E","F","A","E","B","B","B","F","D",101015065
1,8,15,65,7,"E","D","E","C","B","A","B","B","D","D","C","D",101015065
1,8,15,65,3,"E","D","E","E","F","D","E","B","C","B","F","D",101015065
1,8,15,65,6,"C","C","F","E","D","F","C","F","A","A","F","D",101015065
1,8,15,90,3,"C","E","B","B","B","B","F","B","C","B","B","D",101015090
1,8,15,119,3,"B","A","C","B","B","C","E","E","B","A","F","C",101015119
1,8,15,120,3,"E","D","B","E","D","C","E","B","C","B","F","D",101015120
1,8,15,120,2,"E","A","B","B","F","A","E","B","C","B","F","C",101015120
1,8,15,151,3,"A","C","C","E","E","E","F","E","B","E","F","E",101015151
1,8,16,1,3,"E","F","E","E","C","A","C","B","E","E","F","E",101016001
1,8,16,1,4,"A","B","F","F","E","F","B","C","A","A","B","A",101016001
1,8,16,41,3,"E","F","B","E","C","C","E","B","B","A","F","E",101016041
1,8,16,41,5,"E","D","B","D","F","A","E","B","C","B","F","E",101016041
1,8,16,53,2,"E","C","B","B","B","C","C","C","B","C","B","C",101016053
1,8,16,111,4,"F","E","A","A","F","E","E","D","C","E","F","E",101016111
1,8,16,111,3,"E","D","E","E","D","D","E","B","B","B","A","D",101016111
1,8,16,137,5,"D","B","F","F","D","F","E","D","D","E","D","E",101016137
1,8,16,137,2,"E","D","B","E","C","D","E","B","B","B","F","E",101016137
1,8,16,137,4,"E","A","B","E","D","D","B","F","D","A","C","D",101016137
1,8,16,144,4,"E","B","E","E","B","C","E","B","B","A","C","D",101016144
1,8,16,144,3,"B","A","C","B","C","B","A","B","B","B","C","F",101016144
1,8,16,154,4,"B","D","A","E","D","A","E","C","B","F","A","D",101016154
1,8,16,163,2,"D","E","E","E","F","C","E","B","B","B","F","B",101016163
1,8,16,217,5,"E","A","B","D","F","A","E","B","B","A","A","C",101016217
1,10,17,2,4,"B","E","D","C","E","C","C","B","E","A","B","E",101017002
1,10,17,4,3,"B","A","D","E","E","C","B","E","E","A","E","B",101017004
1,10,17,4,4,"E","E","E","C","A","E","C","D","E","E","A","C",101017004
1,10,17,11,3,"C","E","B","E","E","E","A","B","E","E","C","C",101017011
1,10,17,11,4,"B","C","F","C","E","A","E","D","E","C","B","D",101017011
1,10,17,11,2,"E","E","D","C","A","C","C","B","E","B","E","B",101017011
1,10,17,19,3,"A","E","D","E","E","A","A","C","E","E","E","F",101017019
1,10,17,20,2,"A","E","D","C","E","A","C","B","E","E","A","E",101017020
1,10,17,20,3,"E","E","F","C","A","A","A","C","E","E","B","C",101017020
1,10,17,21,4,"C","E","D","C","E","A","C","B","E","B","E","B",101017021
1,10,17,21,6,"B","C","D","C","E","C","E","A","E","E","F","F",101017021
1,10,17,21,5,"E","E","F","D","A","C","E","E","E","E","A","E",101017021
1,10,17,22,3,"E","B","E","C","E","C","C","E","E","B","E","B",101017022
1,10,17,27,4,"E","B","D","C","E","A","B","E","E","B","A","C",101017027
1,10,17,27,5,"C","E","F","C","E","C","C","A","E","A","E","F",101017027
1,10,17,36,3,"E","C","D","C","E","B","C","D","E","C","A","A",101017036
1,10,17,56,5,"E","E","D","C","A","A","B","C","E","B","B","E",101017056
1,10,17,57,2,"E","E","D","C","E","A","C","E","E","E","E","B",101017057
1,10,17,57,3,"E","E","E","C","E","C","A","D","E","B","B","C",101017057
1,10,18,14,7,"C","F","E","B","F","B","C","B","B","F","F","E",101018014
1,10,18,14,6,"E","A","E","B","C","B","E","B","C","A","C","D",101018014
1,10,18,14,5,"E","D","B","D","C","A","E","B","C","B","F","F",101018014
1,10,18,27,3,"A","E","D","C","E","A","B","C","E","E","B","C",101018027
1,10,18,28,3,"E","E","D","C","E","C","C","B","E","E","A","C",101018028
1,10,18,33,3,"C","D","A","D","C","B","E","B","C","F","E","F",101018033
1,10,18,33,4,"A","F","C","B","C","A","E","B","C","B","C","F",101018033
1,10,18,43,3,"C","F","A","D","D","A","E","C","B","F","C","E",101018043
1,10,18,58,2,"C","E","A","D","C","A","B","E","C","B","C","E",101018058
1,10,18,58,3,"B","D","E","B","C","C","E","B","B","A","C","F",101018058
1,10,19,4,4,"E","F","E","D","C","A","E","B","C","B","A","D",101019004
1,10,19,4,5,"E","A","B","D","C","B","E","B","C","B","C","E",101019004
1,10,19,5,3,"C","B","C","D","C","D","E","B","C","A","C","D",101019005
1,10,19,6,3,"F","F","A","B","C","A","E","B","C","A","A","E",101019006
1,10,19,8,3,"C","D","C","E","C","F","E","B","C","A","C","D",101019008
1,10,19,8,4,"B","A","C","D","A","F","E","B","B","A","C","E",101019008
