"id1","id2","id3","id4","hhmid","s7a_1","s7a_2","s7a_3","s7a_4","s7a_5i","s7a_5ii","s7a_6","s7a_7","s7a_8","s7a_9","s7a_10","s7a_11","s7a_12","s7a_13","s7a_14","s7a_15","s7a_16","s7a_17","s7a_18ii","s7a_18iii","s7a_18di","s7a_18dii","s7a_19ii","s7a_19iii","s7a_19di","s7a_19dii","s7a_20ii","s7a_20iii","s7a_20di","s7a_20dii","s7a_21ii","s7a_21iii","s7a_21di","s7a_21dii","s7a_22ii","s7a_22iii","s7a_22di","s7a_22dii","s7a_23","s7a_24","s7a_25","s7a_26","s7a_27","s7a_28","s7a_29","s7a_30","s7a_31","s7a_32","s7a_33","s7a_34i","s7a_34ii","s7a_35","s7a_36i","s7a_36ii","s7a_37","s7a_38","s7a_39","hhno"
1,2,6,42,1,15,87,2,15,0,0,2,1,1,1,1,2,1,1,2,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,15,,4,48,12,101006042
1,2,6,42,2,15,87,2,15,0,0,2,1,1,2,2,4,2,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,52,,8,13,12,101006042
1,2,6,52,1,14,87,2,15,0,0,2,1,1,5,0,5,5,0,5,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,28,,5,9,17,101006052
1,2,6,55,2,15,87,1,16,0,0,2,1,1,1,2,3,1,2,3,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,5,,12,36,9,101006055
1,2,6,56,1,17,87,2,18,0,0,2,1,1,3,2,5,3,2,5,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,16,,2,14,24,101006056
1,2,6,59,2,16,87,2,16,2,2,2,1,1,1,0,1,1,0,1,2,,2,,,,,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,3,,4,7,9,101006059
1,2,6,60,1,16,87,2,17,0,0,2,1,1,2,2,4,2,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,30,,9,12,12,101006060
1,2,6,64,1,15,87,2,16,0,0,2,1,1,2,2,4,2,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,19,,8,12,18,101006064
1,2,7,4,2,17,87,2,26,0,0,2,1,1,2,2,4,2,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,14,,5,4,30,101007004
1,2,7,4,6,14,87,1,87,2,2,2,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,101007004
1,2,7,7,1,,87,2,,,,,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,101007007
1,2,7,10,2,17,87,2,21,0,0,2,1,1,3,2,5,2,2,4,2,,1,1992,2,,2,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,4,6,2,12,19,101007010
1,2,7,14,2,15,87,2,21,0,0,2,1,1,3,1,4,3,1,4,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,28,,6,8,24,101007014
1,2,7,25,1,17,87,1,20,0,2,2,1,1,4,1,5,3,1,4,2,,1,1989,2,4,,,,,,,,,,,,,,,,,,1,2,1,1,,1,1,8,2,4,7,,,,,4,87,87,3,101007025
1,2,7,25,6,18,87,2,22,0,0,2,1,1,1,2,3,1,1,2,2,,1,1969,1,37,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,30,,6,5,24,101007025
1,2,7,26,2,22,87,2,20,0,0,2,1,1,0,2,2,0,1,1,2,,1,1984,1,1,6,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,20,,6,8,24,101007026
1,2,7,26,3,18,87,2,19,0,1,2,1,1,0,1,1,0,1,1,2,,2,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,9,,5,12,24,101007026
1,2,7,33,2,14,87,2,17,0,0,2,1,1,1,3,4,0,3,3,1,1,1,1987,2,,3,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,17,,3,18,24,101007033
1,2,7,36,4,14,87,1,87,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007036
1,2,7,36,6,14,87,2,87,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101007036
