"id1","id2","id3","id4","hd","hhmid","s7b_1","s7b_2i","s7b_2ii","s7b_3","s7b_4","s7b_5","s7b_6","s7b_7","s7b_8","s7b_9","s7b_10","s7b_11","s7b_12","s7b_13","s7b_14","s7b_15","s7b_16","s7b_17","s7b_18","s7b_19","s7b_20","s7b_21","s7b_22","s7b_23","hhno"
1,2,5,13,"005013",4,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101005013
1,2,5,13,"005013",5,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101005013
1,2,5,19,"005019",2,2,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101005019
1,2,5,22,"005022",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005022
1,2,5,24,"005024",2,1,50,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101005024
1,2,5,25,"005025",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005025
1,2,5,25,"005025",2,,,,2,2,2,2,2,1,1,2,2,1,2,2,2,,,,,,,,,101005025
1,2,5,33,"005033",1,,,,3,3,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005033
1,2,5,33,"005033",2,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005033
1,2,5,36,"005036",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005036
1,2,5,36,"005036",3,,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,2,1,5,5,5,101005036
1,2,5,36,"005036",5,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005036
1,2,5,36,"005036",6,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005036
1,2,5,40,"005040",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005040
1,2,5,41,"005041",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005041
1,2,5,41,"005041",2,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005041
1,2,5,51,"005051",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005051
1,2,5,51,"005051",2,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005051
1,2,5,51,"005051",3,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005051
1,2,5,52,"005052",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005052
1,2,5,52,"005052",2,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005052
1,2,5,52,"005052",3,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005052
1,2,5,52,"005052",4,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101005052
1,2,6,1,"006001",2,1,30,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101006001
1,2,6,15,"006015",2,1,30,,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,2,3,4,1,5,101006015
1,2,6,15,"006015",4,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101006015
1,2,6,23,"006023",2,1,20,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,5,5,5,101006023
1,2,6,23,"006023",5,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101006023
1,2,6,29,"006029",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101006029
1,2,6,42,"006042",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101006042
1,2,6,42,"006042",2,,,,2,2,2,2,2,1,1,1,1,1,2,2,2,,,,,,,,,101006042
1,2,6,52,"006052",1,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101006052
1,2,6,55,"006055",2,1,90,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101006055
1,2,6,56,"006056",1,,,,2,2,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,101006056
1,2,6,59,"006059",2,1,60,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,4,5,5,5,101006059
1,2,6,60,"006060",1,,,,2,2,2,2,2,1,2,2,1,1,2,2,2,,,,,,,,,101006060
1,2,6,64,"006064",1,,,,2,2,2,2,2,1,2,2,1,1,,2,2,,,,,,,,,101006064
1,2,7,4,"007004",2,1,90,,2,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,1,5,5,5,101007004
1,2,7,4,"007004",6,,,,2,2,2,2,2,1,1,1,2,1,2,2,2,,,,,,,,,101007004
1,2,7,7,"007007",1,,,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,1,2,1,5,5,5,101007007
1,2,7,10,"007010",2,1,15,,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,4,3,1,5,101007010
1,2,7,14,"007014",2,1,60,,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,1,5,5,5,101007014
1,2,7,25,"007025",1,2,,,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,3,4,5,5,101007025
