"id1","id2","id3","id4","s1fi_hhmid","s1fii_39","s1fii_40","s1fii_41","s1fii_42","s1fii_43","s1fii_44","s1fii_45","s1fii_46","s1fii_47","s1fii_48","s1fii_49","s1fii_50","s1fii_51","s1fii_52","hhno"
1,2,25,37,1,2,,,,2,,,,,2,,2,,,101025037
1,2,25,37,2,,,,,,,,,,,,,,,101025037
1,2,25,37,4,2,,,,2,,,,,2,,2,,,101025037
1,2,25,37,3,2,,,,2,,,,,2,,2,,,101025037
1,2,25,43,4,,,,,,,,,,,,,,,101025043
1,2,25,43,2,,,,,,,,,,,,,,,101025043
1,2,25,43,1,2,,,,2,,,,,2,,2,,,101025043
1,2,25,43,3,2,,,,2,,,,,2,,2,,,101025043
1,2,25,44,1,2,,,,2,,,,,2,,2,,,101025044
1,2,25,50,4,2,,,,2,,,,,2,,2,,"2",101025050
1,2,25,50,2,2,,,,2,,,,,2,,2,,,101025050
1,2,25,50,3,2,,,,2,,,,,2,,2,,,101025050
1,2,25,50,7,2,,,,2,,,,,2,,2,,,101025050
1,2,25,50,1,2,,,,2,,,,,2,,2,,,101025050
1,2,25,50,8,,,,,,,,,,,,,,,101025050
1,2,25,50,5,2,,,,2,,,,,2,,2,,,101025050
1,2,25,50,6,2,,,,2,,,,,2,,2,,"1",101025050
1,2,25,51,1,,,,,,,,,,,,,,,101025051
1,2,25,51,4,,,,,,,,,,,,,,,101025051
1,2,25,51,2,,,,,,,,,,,,,,,101025051
1,2,25,51,3,,,,,,,,,,,,,,,101025051
1,2,25,54,5,2,,,,2,,,,,2,,2,,"2",101025054
1,2,25,54,4,2,,,,2,,,,,2,,2,,,101025054
1,2,25,54,1,2,,,,2,,,,,2,,2,,"2",101025054
1,2,25,54,2,2,,,,2,,,,,2,,2,,,101025054
1,2,25,54,3,2,,,,2,,,,,2,,2,,"2",101025054
1,2,25,97,4,2,,,,2,,,,,2,,2,,,101025097
1,2,25,97,6,,,,,,,,,,,,,,,101025097
1,2,25,97,1,2,,,,2,,,,,2,,2,,,101025097
1,2,25,97,5,2,,,,1,3,2,4,,2,,2,,"4",101025097
1,2,25,97,2,,,,,,,,,,,,,,,101025097
1,2,25,97,3,,,,,,,,,,,,,,,101025097
1,2,25,100,3,,,,,,,,,,,,,,,101025100
1,2,25,100,2,,,,,,,,,,,,,,,101025100
1,2,25,100,1,,,,,,,,,,,,,,,101025100
