"id1","id2","id3","id4","fuel_id","itemname","s11d_1","s11d_a","s11d_b","s11d_c","s11d_d","s11d_e","s11d_f","hhno"
1,6,2,25,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002025
1,6,2,25,1,"ELECTRICITY",12,4,,,,48,,101002025
1,6,2,25,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002025
1,6,2,25,4,"CHARCOAL",12,5,,,,60,,101002025
1,6,2,28,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002028
1,6,2,28,10,"RUBBISH/PLASTIC",,,,,,,,101002028
1,6,2,28,5,"FIREWOOD",,,,,,,,101002028
1,6,2,28,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002028
1,6,2,28,6,"PETROL",,,,,,,,101002028
1,6,2,28,1,"ELECTRICITY",12,2,,,,24,,101002028
1,6,2,28,8,"DUNG CAKE",,,,,,,,101002028
1,6,2,28,4,"CHARCOAL",12,6,,,,72,,101002028
1,6,2,28,7,"DIESEL",,,,,,,,101002028
1,6,2,28,3,"KEROSENE",,,,,,,,101002028
1,6,2,29,2,"GAS FOR HOUSEHOLD USE",12,7,50,,,90,,101002029
1,6,2,29,1,"ELECTRICITY",12,6,,,,72,,101002029
1,6,2,29,7,"DIESEL",,,,,,,,101002029
1,6,2,29,3,"KEROSENE",,,,,,,,101002029
1,6,2,29,8,"DUNG CAKE",,,,,,,,101002029
1,6,2,29,4,"CHARCOAL",,,,,,,,101002029
1,6,2,29,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002029
1,6,2,29,5,"FIREWOOD",,,,,,,,101002029
1,6,2,29,10,"RUBBISH/PLASTIC",,,,,,,,101002029
1,6,2,29,6,"PETROL",,,,,,,,101002029
1,6,2,37,10,"RUBBISH/PLASTIC",,,,,,,,101002037
1,6,2,37,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002037
1,6,2,37,7,"DIESEL",,,,,,,,101002037
1,6,2,37,5,"FIREWOOD",12,18,,190,,190,,101002037
1,6,2,37,1,"ELECTRICITY",12,3,,,,36,,101002037
1,6,2,37,8,"DUNG CAKE",,,,,,,,101002037
1,6,2,37,3,"KEROSENE",,,,,,,,101002037
1,6,2,37,4,"CHARCOAL",12,15,,,,100,,101002037
1,6,2,37,6,"PETROL",,,,,,,,101002037
1,6,2,37,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002037
1,6,2,41,6,"PETROL",,,,,,,,101002041
1,6,2,41,8,"DUNG CAKE",,,,,,,,101002041
1,6,2,41,7,"DIESEL",,,,,,,,101002041
1,6,2,41,5,"FIREWOOD",,,,,,,,101002041
1,6,2,41,1,"ELECTRICITY",12,20,,,,240,,101002041
1,6,2,41,2,"GAS FOR HOUSEHOLD USE",12,9,,,,108,,101002041
1,6,2,41,3,"KEROSENE",,,,,,,,101002041
1,6,2,41,10,"RUBBISH/PLASTIC",,,,,,,,101002041
1,6,2,41,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002041
1,6,2,41,4,"CHARCOAL",,,,,,,,101002041
1,6,2,43,6,"PETROL",,,,,,,,101002043
1,6,2,43,2,"GAS FOR HOUSEHOLD USE",,,,,,,,101002043
1,6,2,43,4,"CHARCOAL",12,,80,,,9,60,101002043
1,6,2,43,3,"KEROSENE",,,,,,,,101002043
1,6,2,43,9,"CROP BYPRODUCTS/WASTE",,,,,,,,101002043
1,6,2,43,5,"FIREWOOD",,,,,,,,101002043
1,6,2,43,1,"ELECTRICITY",,,,,,,,101002043
1,6,2,43,7,"DIESEL",,,,,,,,101002043
1,6,2,43,10,"RUBBISH/PLASTIC",,,,,,,,101002043
1,6,2,43,8,"DUNG CAKE",,,,,,,,101002043
1,6,2,50,8,"DUNG CAKE",,,,,,,,101002050
1,6,2,50,7,"DIESEL",,,,,,,,101002050
