"id1","id2","id3","id4","entno","s5aii_30","s5aii_30ai","s5aii_30aii","s5aii_30bi","s5aii_30bii","s5aii_30ci","s5aii_30cii","s5aii_30di","s5aii_30dii","s5aii_30ei","s5aii_30eii","s5aii_30f","s5aii_31","s5aii_31ai","s5aii_31aii","s5aii_31bi","s5aii_31bii","s5aii_31ci","s5aii_31cii","s5aii_31di","s5aii_31dii","s5aii_31ei","s5aii_31eii","s5aii_31f","s5aii_32","s5aii_32ai","s5aii_32aii","s5aii_32bi","s5aii_32bii","s5aii_32ci","s5aii_32cii","s5aii_32di","s5aii_32dii","s5aii_32ei","s5aii_32eii","s5aii_32f","s5aii_33","s5aii_331","s5aii_331ai","s5aii_331aii","s5aii_331bi","s5aii_331bii","s5aii_331ci","s5aii_331cii","s5aii_331di","s5aii_331dii","s5aii_331ei","s5aii_331eii","s5aii_331f","s5aii_332","s5aii_332ai","s5aii_332aii","s5aii_332bi","s5aii_332bii","s5aii_332ci","s5aii_332cii","s5aii_332di","s5aii_332dii","s5aii_332ei","s5aii_332eii","s5aii_332f","s5aii_333","s5aii_333ai","s5aii_333aii","s5aii_333bi","s5aii_333bii","s5aii_333ci","s5aii_333cii","s5aii_333di","s5aii_333dii","s5aii_333ei","s5aii_333eii","s5aii_333f","hhno"
1,13,11,172,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"CRATES",200,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101011172
1,13,12,17,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101012017
1,13,12,38,1,1,2000,,2000,,,,,,,,"100",2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101012038
1,13,12,51,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"7",200,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101012051
1,13,12,55,1,2,,,,,,,,,,,,2,,,,,,,,,,,,1,200,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101012055
1,13,12,94,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"48",120,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101012094
1,8,13,8,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"OVEN",20,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,101013008
1,8,13,36,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"PANS",170,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101013036
1,8,13,87,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"BOTTLES",5,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101013087
1,8,14,11,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"DRUM AND TUBE",240,,100,,,,,,,,100,"GALLONS",16,,,,,,,,,,100,"BASHING RUBBER",6,,,,,,,,,,100,101014011
1,8,14,15,2,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,"BASKETS",4,50,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,101014015
1,8,14,15,1,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,"JERICAN",50,,10,,,,,,,,100,"COOKING POTS",45,,,,,,,,,,100,"MOTOR",15,,,,,,,,,,100,101014015
1,8,14,36,1,2,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,1,"CLAMP",10,,,,,,,,,,100,"BRACE AND BIT",10,,,,,,,,,,100,"SAW",20,,,,,,,,,,100,101014036
